GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0827c_DMSO_noDrug	EV_DMSO_noDrug
Rv2159c	Rv2159c	hypothetical protein	microaerophilic:20%; cholesterol:14%; acidic_tyloxopol:10%	0.801	4.38950438005668e-08	14.32	16	14	17	14	11	886.39	513.6
MTS0900	MTS0900	small intergenic RNA	butyrate:33%; acidic_tyloxopol:15%; butyrate_plus_glucose:12%	0.6889	6.6965280287376e-13	15.59	27	18	22	10	6	995.81	624.69
Rv2557	Rv2557	hypothetical protein	acidic:38%; cholesterol:13%	0.6906	1.74380267558723e-08	19.44	26	21	24	16	12	791.49	495.75
Rv1996	Rv1996	universal stress protein	cholesterol:33%; microaerophilic:13%	0.6735	1.02631662190041e-11	20.12	29	23	30	13	10	581.44	368.83
PE_PGRS55	Rv3511	PE-PGRS family protein PE_PGRS55	hypoxia_late:44%	1.1156	4.8285906725801e-06	19.25	7	7	7	12	111	88.99	40.78
fdxD	Rv3503c	ferredoxin FdxD	microaerophilic:21%; hypoxia_fatty_acids:12%	0.781	1.14044445815516e-06	20.01	20	15	18	21	27	261.01	152.75
espC	Rv3615c	ESX-1 secretion-associated protein EspC	acidic_tyloxopol:23%; butyrate:14%; acidic:11%	0.7224	5.85511000829988e-07	20.35	21	20	21	23	17	2382.9	1459.84
espD	Rv3614c	ESX-1 secretion-associated protein EspD	acidic_tyloxopol:23%; acidic:22%	0.6963	4.12842579044452e-07	23.1	25	25	26	22	18	2666.45	1664.22
Rv3613c	Rv3613c	hypothetical protein	acidic:22%; acidic_tyloxopol:22%	0.6244	2.83939425040803e-09	24.97	35	30	33	18	13	2025.76	1329.6
espA	Rv3616c	ESX-1 secretion-associated protein EspA	acidic:20%; acidic_tyloxopol:13%; zinc_limitation:11%; butyrate:10%	0.6989	1.19661140344948e-06	24.19	24	24	23	25	25	2027.08	1261.87
PE_PGRS54	Rv3508	PE-PGRS family protein PE_PGRS54	cholesterol:19%; hypoxia_late:17%	1.504	2.29120654913788e-05	23.33	3	3	4	27	182	373.75	131.24
PE_PGRS56	Rv3512	PE-PGRS family protein PE_PGRS56	hypoxia_late:47%	1.1294	1.5393384311587e-05	23.4	6	8	8	15	149	70.81	31.96
cydD	Rv1621c	cytochrome biosyntheisis ABC transporter ATP-binding protein/permease CydD	hypoxia_late:15%	0.6838	3.93164635968925e-07	24.76	28	27	28	26	16	312.7	196.37
Rv0264c	Rv0264c	hypothetical protein	butyrate:13%; hypoxia_late:12%	0.6519	1.69376030942407e-07	25.99	32	28	29	19	23	115.44	73.91
PE_PGRS50	Rv3345c	PE-PGRS family protein PE_PGRS50	hypoxia_late:56%	0.622	3.7361978557248e-08	26.66	34	33	39	17	15	27.25	17.53
PPE33	Rv1809	PPE family protein PPE33	acidic:20%; acidic_tyloxopol:14%; zinc_limitation:11%	0.5843	1.97453038002678e-09	27.99	40	34	37	20	14	202.15	136.12
Rv2160c	Rv2160c	conserved hypothetical protein	microaerophilic:31%; cholesterol:13%	0.6062	1.0333862148839e-06	31.92	37	36	36	30	22	1122.04	745.19
cydB	Rv1622c	cytochrome D ubiquinol oxidase subunit II CydB	hypoxia_fatty_acids:10%	0.5737	4.12125274468852e-08	33.11	44	39	44	24	19	244.55	165.98
cydC	Rv1620c	cytochrome biosyntheisis ABC transporter ATP-binding protein/permease CydC	hypoxia_late:25%	0.5906	1.64175480908052e-06	35.21	38	40	38	35	26	228.27	152.94
Rv1738	Rv1738	hypothetical protein	cholesterol:29%; ctl_stationary:13%	0.5567	8.22082774461283e-08	36.68	49	42	48	28	21	2250.58	1549.61
fabG4	Rv0242c	3-oxoacyl-ACP reductase FabG	low_iron:16%; high_iron:13%	0.5346	1.49262827723867e-08	37.69	52	43	50	29	20	390.6	272.66
PE_PGRS7	Rv0578c	PE-PGRS family protein PE_PGRS7	cholesterol:15%; microaerophilic:13%; hypoxia_late:12%	0.9559	9.940958337455e-05	31.31	10	10	11	31	163	263.57	136.34
Rv2160A	Rv2160A	conserved hypothetical protein	microaerophilic:33%; cholesterol:11%; acidic:11%	0.618	9.39090185353582e-06	36.35	36	35	35	42	34	1001.77	659.36
Rv2558	Rv2558	hypothetical protein	acidic:19%; hypoxia_fatty_acids:15%; microaerophilic:11%; cholesterol:11%	0.5743	2.59384402191127e-06	38.39	43	41	41	40	28	561.99	381.39
PPE31	Rv1807	PPE family protein	acidic:25%; acidic_tyloxopol:12%; hypoxia_fatty_acids:11%	0.5744	3.29957769609991e-06	40.3	48	44	46	34	31	94.6	63.97
PE_PGRS27	Rv1450c	PE-PGRS family protein PE_PGRS27	hypoxia_late:51%	0.5738	3.60364721179774e-06	40.36	41	48	52	33	30	26.94	17.95
htdX	Rv0241c	3-hydroxyacyl-thioester dehydratase HtdX	low_iron:16%; high_iron:12%	0.5136	1.05284626138707e-07	43.16	61	49	56	32	24	313.6	221.94
PE_PGRS15	Rv0872c	PE-PGRS family protein PE_PGRS15	microaerophilic:43%	0.6339	5.15748778262014e-05	42.68	33	37	34	63	50	594.87	386.73
proB	Rv2439c	glutamate 5-kinase protein	hypoxia_late:18%	0.5762	1.98604904076321e-05	44.31	46	46	45	48	37	207.2	140.16
PE_PGRS45	Rv2615c	PE-PGRS family protein PE_PGRS45	hypoxia_late:23%	0.5177	1.66544272888223e-06	46.91	60	55	58	37	29	171.77	121.09
tgs1	Rv3130c	diacyglycerol O-acyltransferase	cholesterol:42%	0.5103	2.59157223754634e-06	49.18	58	54	67	36	35	1323.39	941.06
pyrB	Rv1380	aspartate carbamoyltransferase	hypoxia_late:18%; zinc_limitation:10%	0.5359	1.55288393781526e-05	48.03	55	45	51	39	51	74.16	51.37
Rv2004c	Rv2004c	hypothetical protein	hypoxia_hypoxic:20%; cholesterol:19%; microaerophilic:14%	0.5279	6.19934822324124e-06	49.05	54	52	61	41	39	85.13	59.4
Rv0950c	Rv0950c	hypothetical protein	zinc_limitation:14%	0.4951	2.03016624267433e-06	52.09	69	58	62	44	32	293.56	210.45
Rv2638	Rv2638	hypothetical protein	acidic_tyloxopol:22%	0.6925	0.00022873804114946	46.41	31	26	31	83	76	84.36	52.23
PE_PGRS5	Rv0297	PE-PGRS family protein PE_PGRS5	acidic:16%; low_iron:10%	0.7619	0.000436680202231031	45.17	18	22	20	47	178	404.4	240.08
Rv2405	Rv2405	hypothetical protein	cholesterol:8%	0.4971	4.15072018432762e-06	52.68	70	53	64	38	42	189.5	135.54
gltB	Rv3859c	glutamate synthase large subunit	zinc_limitation:10%	0.4969	5.78331091412745e-06	53.55	67	57	60	46	40	458.94	328.87
PE_PGRS34	Rv1840c	PE-PGRS family protein PE_PGRS34	hypoxia_late:29%; microaerophilic:24%	0.5358	4.18390135366333e-05	54.36	56	56	57	49	54	53.76	37.14
narK2	Rv1737c	nitrate/nitrite transporter	cholesterol:34%; hypoxia_hypoxic:11%	0.469	1.12492356819888e-06	59.81	80	70	82	43	33	209.87	153.28
lprF	Rv1368	lipoprotein LprF	acidic:15%	0.4802	2.87930283660234e-06	56.39	75	61	70	45	36	318.4	230.62
PE_PGRS21	Rv1087	PE-PGRS family protein PE_PGRS21	hypoxia_late:20%; cholesterol:12%	0.7203	0.000645270070637388	54.94	22	31	25	55	207	152.8	93.12
PE_PGRS6	Rv0532	PE-PGRS family protein PE_PGRS6	hypoxia_late:26%	0.5062	3.28993245297021e-05	60.83	64	64	66	62	49	140.19	99.5
PE_PGRS14	Rv0834c	PE-PGRS family protein PE_PGRS14	microaerophilic:59%	0.8884	0.000948445197804167	56.02	13	19	14	76	289	225.05	121.76
fadA2	Rv0243	acetyl-CoA acetyltransferase FadA	low_iron:14%; high_iron:11%	0.5016	3.71340461741556e-05	60.89	65	59	63	66	52	652.57	465.88
PPE60	Rv3478	PE family protein PPE60	acidic:25%	0.5317	0.000106923942611032	56.37	51	50	53	59	70	3590.55	2510.34
Rv1639c	Rv1639c	hypothetical protein	acidic_tyloxopol:13%; butyrate:12%; butyrate_plus_glucose:10%	0.4815	1.66428368148351e-05	61.67	73	63	69	57	48	615.07	445.42
celA1	Rv0062	cellulase CelA	hypoxia_late:16%; hypoxia_rar:12%; tyloxopol:12%	0.473	7.31040406347329e-06	62.7	79	67	79	50	43	231.29	168.35
gltD	Rv3858c	glutamate synthase small subunit	zinc_limitation:12%	0.4608	3.9166182505198e-06	62.74	85	68	78	51	38	473.83	348.19
Rv3269	Rv3269	hypothetical protein	hypoxia_fatty_acids:36%; butyrate:11%	0.4835	2.65413212601624e-05	65.4	74	69	72	67	47	1968.83	1424.9
Rv2484c	Rv2484c	diacyglycerol O-acyltransferase	microaerophilic:18%; acidic:12%; ctl_stationary:10%	0.4557	5.72446027832514e-06	66.13	88	72	83	53	41	290.92	214.43
pks7	Rv1661	polyketide synthase	hypoxia_late:29%	0.4896	3.2129494786731e-05	66.46	66	74	80	61	53	74.98	53.76
Rv2627c	Rv2627c	hypothetical protein	cholesterol:27%; ctl_stationary:17%; butyrate:10%	0.5155	6.83085173547431e-05	67.81	59	79	71	70	61	145.26	102.59
PE_PGRS22	Rv1091	PE-PGRS family protein PE_PGRS22	hypoxia_late:26%	0.7168	0.00110756700370898	62.6	23	32	27	72	238	158.33	96.7
PE_PGRS47	Rv2741	PE-PGRS family protein PE_PGRS47	hypoxia_late:14%; microaerophilic:10%	0.5281	0.000150976702509772	65.97	57	65	59	88	63	195.65	136.84
fadE23	Rv3140	acyl-CoA dehydrogenase FadE23	low_iron:25%	0.4603	9.40914923153941e-06	68.35	84	75	88	54	46	396.87	291.82
argD	Rv1655	acetylornithine aminotransferase	hypoxia_late:20%; hypoxia_hypoxic:14%	0.4819	4.16986381381146e-05	67.97	77	71	75	60	58	93.38	67.36
cydA	Rv1623c	cytochrome D ubiquinol oxidase subunit I CydA	tyloxopol:10%	0.4502	8.07083684213758e-06	69.22	90	77	85	56	44	441.48	326.8
PE_PGRS57	Rv3514	PE-PGRS family protein PE_PGRS57	cholesterol:24%; hypoxia_late:20%	1.1265	0.00140428955156875	69.28	9	17	9	121	420	183.36	83.27
Rv3612c	Rv3612c	hypothetical protein	acidic_tyloxopol:21%; butyrate_plus_glucose:11%	0.4625	2.6164305031116e-05	70.24	87	73	81	58	55	474.89	348.5
PE17	Rv1646	PE family protein PE17	PBS_RIF_DDmtb:11%; butyrate:11%	0.4429	5.86577046758771e-06	70.92	93	83	89	52	45	282.38	209.97
PE_PGRS53	Rv3507	PE-PGRS family protein PE_PGRS53	hypoxia_late:22%; microaerophilic:16%	0.8905	0.00168639325595106	70.12	15	29	16	97	352	129.22	69.51
murF	Rv2157c	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase	microaerophilic:46%	0.4863	8.88604493841263e-05	72.47	72	76	73	80	62	233.57	168.33
PE_PGRS9	Rv0746	PE-PGRS family protein PE_PGRS9	hypoxia_late:40%	0.5025	0.00014634944302892	73.35	68	82	68	86	64	88.11	62.55
PE_PGRS10	Rv0747	PE-PGRS family protein PE_PGRS10	microaerophilic:31%; hypoxia_late:12%	0.5982	0.00114427613077492	73.34	39	51	42	71	211	82.69	54.81
Rv2005c	Rv2005c	universal stress protein	cholesterol:20%; ctl_stationary:15%; microaerophilic:14%; hypoxia_hypoxic:11%	0.4393	2.61306448642675e-05	80.84	97	87	102	64	59	174.93	130.32
Rv3662c	Rv3662c	hypothetical protein	butyrate:15%; low_iron:12%; cholesterol:12%; butyrate_plus_glucose:11%	0.4801	0.000134170603505414	77.88	78	80	77	87	68	279.15	202.07
MT1414.1	MT1414.1	hypothetical protein	acidic:26%; ctl_exponential:10%	0.5334	0.000833056443071349	70.99	62	47	54	101	100	303.96	211.87
bioB	Rv1589	biotin synthetase	zinc_limitation:13%	0.4406	4.49212975269589e-05	80.63	96	84	93	73	60	329.36	245.27
mftF	Rv0696	mycofactocin biosynthesis glycosyltransferase MftF	acidic:16%; acidic_tyloxopol:14%	0.4215	1.55590786953529e-05	85.46	108	94	107	69	56	245.79	185.48
PE_PGRS38	Rv2162c	PE-PGRS family protein PE_PGRS38	microaerophilic:22%	0.662	0.00202063797370293	73.48	30	38	32	92	255	1584.19	1009.31
katG	Rv1908c	catalase-peroxidase	zinc_limitation:35%	0.4577	0.000187931356485666	83.58	86	81	86	84	81	969.33	713.79
Rv3502c	Rv3502c	short-chain type dehydrogenase/reductase	hypoxia_fatty_acids:17%; microaerophilic:14%; cholesterol:10%	0.4305	5.05482366529542e-05	85.11	107	85	98	65	74	108.77	81.34
PE_PGRS3	Rv0278c	PE-PGRS family protein PE_PGRS3	microaerophilic:30%; hypoxia_late:29%	0.4718	0.000225874743540043	87.34	83	100	92	91	72	45.77	33.09
Rv3131	Rv3131	NAD(P)H nitroreductase	cholesterol:35%; nutrient_limitation:14%; butyrate:10%	0.4221	4.68486441558776e-05	89.16	105	96	109	74	66	1399.25	1057.52
Rv1144	Rv1144	oxidoreductase	nutrient_limitation:14%; PBS_RIF_DDmtb:14%; butyrate:10%	0.4174	3.47725643863041e-05	89.53	111	99	108	68	67	234.81	177.43
PE_PGRS48	Rv2853	PE-PGRS family protein PE_PGRS48	hypoxia_late:29%	0.4356	7.95474077364666e-05	90.73	104	103	104	77	69	87.02	64.83
papA3	Rv1182	acyltransferase PapA	acidic_tyloxopol:18%; acidic:15%; butyrate_plus_glucose:13%	0.4347	0.000133580125302272	89.23	98	86	97	89	77	745.1	557.54
PE31	Rv3477	PE family protein PE31	acidic:28%; ctl_exponential:11%	0.4338	0.000194529989467728	91.89	102	90	95	90	83	6345.13	4751.62
lpqH	Rv3763	lipoprotein LpqH	acidic:14%; ctl_exponential:10%	0.4399	0.000339714608948309	92.51	92	91	94	102	84	2308.57	1720.74
Rv1810	Rv1810	hypothetical protein	acidic:12%; acidic_tyloxopol:12%	0.4028	5.60572287330382e-05	95.11	117	104	113	82	65	972.81	744.44
Rv2190c	Rv2190c	endopeptidase	zinc_limitation:11%; ctl_exponential:10%	0.4539	0.000510443753487073	93.69	91	93	87	106	92	1520.23	1121.82
MT3580.2	MT3580.2	hypothetical protein	acidic:20%; ctl_exponential:12%; hypoxia_hypoxic:12%	0.43	0.000155999091075336	94.36	106	95	100	94	78	3122.15	2344.3
Rv2083	Rv2083	hypothetical protein	hypoxia_late:15%	0.4082	8.68531733647561e-05	97.1	116	105	110	85	73	238.48	181.58
PE_PGRS51	Rv3367	PE-PGRS family protein PE_PGRS51	microaerophilic:27%; hypoxia_late:16%	0.4453	0.000487763317789959	101.76	99	109	99	116	87	111.96	82.87
Rv2522c	Rv2522c	hypothetical protein	hypoxia_late:12%	0.3813	6.47370999439876e-05	102.11	124	112	128	78	75	136.69	106.01
PE_PGRS39	Rv2340c	PE-PGRS family protein PE_PGRS39	hypoxia_late:14%	0.387	9.29205513490054e-05	103.1	125	110	122	81	82	125.25	96.69
ctpC	Rv3270	manganese/zinc-exporting P-type ATPase	hypoxia_fatty_acids:28%; butyrate:22%; PBS_RIF_DDmtb:13%	0.4315	0.000494273686565554	100.53	103	97	101	109	93	748.14	560.67
pdc	Rv0853c	alpha-keto-acid decarboxylase	hypoxia_late:13%	0.3727	5.56902600797123e-05	104.7	128	122	132	79	71	121.91	95.11
PE_PGRS33	Rv1818c	PE-PGRS family protein PE_PGRS33	microaerophilic:28%; hypoxia_late:12%	0.5802	0.00402252955204229	96.62	45	60	47	110	301	208.65	140.48
cobQ1	Rv0255c	cobyric acid synthase	hypoxia_late:20%	0.3728	6.63814768567392e-05	105.88	131	120	131	75	80	106.54	83.01
Rv1590	Rv1590	hypothetical protein	zinc_limitation:15%	0.4059	0.000292787282820702	105.63	118	111	116	100	85	638.05	487.2
Rv2632c	Rv2632c	hypothetical protein	acidic:32%; acidic_tyloxopol:12%	0.3875	0.000331231873317055	111.28	126	121	124	99	89	481.27	372.35
fusA2	Rv0120c	elongation factor G	acidic:22%	0.367	9.28861298952671e-05	112.58	134	124	137	95	79	150.07	117.57
PE_PGRS59	Rv3595c	PE-PGRS family protein PE_PGRS59	hypoxia_late:15%	0.3892	0.000402401392705557	112.62	121	123	123	108	90	130.41	100.46
Rv3433c	Rv3433c	bifunctional ADP-dependent (S)-NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase	hypoxia_late:35%	0.4182	0.000627973706555051	112.64	114	119	114	120	97	94.04	70.93
Rv1638A	Rv1638A	hypothetical protein	acidic_tyloxopol:24%; butyrate:15%; butyrate_plus_glucose:11%	0.4354	0.00120942662950642	109.23	109	98	103	123	114	295.36	220.54
Rv2161c	Rv2161c	hypothetical protein	microaerophilic:23%; cholesterol:12%; acidic:11%	0.571	0.00571556410127357	103.42	47	62	49	128	317	1656.03	1124.19
PE_PGRS58	Rv3590c	PE-PGRS family protein PE_PGRS58	hypoxia_late:34%	0.4	0.000523311334769356	112.77	120	116	121	114	94	92.46	70.61
Rv2628	Rv2628	hypothetical protein	cholesterol:49%; microaerophilic:10%	0.4823	0.00270237605014475	113.5	81	106	96	162	131	167.96	121.56
Rv2189c	Rv2189c	hypothetical protein	high_iron:12%; butyrate_plus_glucose:11%	0.4041	0.000761326689348961	115.99	119	115	119	129	99	190.26	145.13
PE_PGRS2	Rv0124	PE-PGRS family protein PE_PGRS2	hypoxia_late:43%	0.4833	0.00379050817009246	112.62	82	89	90	168	147	27.71	19.73
PPE32	Rv1808	PPE family protein PPE32	acidic:31%; acidic_tyloxopol:11%	0.3759	0.000432879083176051	120.98	132	133	140	107	96	101.52	79.03
pcd	Rv3293	piperideine-6-carboxylic acid dehydrogenase	hypoxia_late:21%	0.4109	0.000965675289698641	116.16	115	114	118	134	101	165.21	125.42
PPE19	Rv1361c	PPE family protein PPE19	acidic:23%	0.4093	0.00117538206483698	116.27	113	107	112	130	120	2191.55	1668.43
plsC	Rv2483c	bifunctional L-3-phosphoserine phosphatase/1-acyl-sn-glycerol-3-phosphate	microaerophilic:13%; acidic:11%	0.3587	0.000241894115234462	121.06	139	129	151	104	88	169.62	133.59
murE	Rv2158c	UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase	microaerophilic:26%; cholesterol:14%	0.5521	0.00701023508046237	114.93	53	78	55	136	339	559.9	384.88
PE_PGRS52	Rv3388	PE-PGRS family protein PE_PGRS52	hypoxia_late:39%	0.5335	0.00589532591638502	118.37	63	92	65	115	327	53.09	36.71
plsB2	Rv2482c	glycerol-3-phosphate acyltransferase	zinc_limitation:8%	0.3518	0.000213865317198807	126.26	150	130	147	124	86	170.81	135.24
Rv2559c	Rv2559c	hypothetical protein	acidic:13%; microaerophilic:12%; acidic_tyloxopol:10%	0.3661	0.000664666140603914	126.84	141	131	136	125	103	100.84	78.95
Rv0458	Rv0458	aldehyde dehydrogenase	cholesterol:18%; acidic:11%	0.3557	0.000462048056541063	131.65	152	141	145	126	98	146.43	115.6
fadE16	Rv1679	acyl-CoA dehydrogenase FadE16	high_iron:10%	0.3463	0.000268975588216333	132.06	160	139	154	118	95	194.17	154.33
murX	Rv2156c	phospho-N-acetylmuramoyl- pentappeptidetransferase	microaerophilic:37%	0.3481	0.000315448364229489	133.07	157	136	152	135	91	366.66	291.37
Rv0398c	Rv0398c	hypothetical protein	acidic_tyloxopol:14%; hypoxia_late:12%; acidic:11%	0.3581	0.000697696303097517	127.31	147	126	134	119	112	174.44	137.44
argG	Rv1658	argininosuccinate synthase	hypoxia_late:10%; hypoxia_hypoxic:10%	0.3628	0.0011720099333936	135.59	143	137	139	152	109	281.49	221.23
Rv3127	Rv3127	hypothetical protein	cholesterol:18%; butyrate:16%; hypoxia_hypoxic:10%	0.3546	0.00071925407318873	137.53	142	143	161	141	104	810.37	641.89
pheT	Rv1650	phenylalanine--tRNA ligase subunit beta	hypoxia_late:10%	0.3632	0.00156656774159247	138	138	135	138	164	117	278.54	218.81
PE_PGRS16	Rv0977	PE-PGRS family protein PE_PGRS16	microaerophilic:25%; hypoxia_late:19%	0.3717	0.0016088973907467	141.27	135	158	148	148	119	50.07	38.93
Rv1885c	Rv1885c	chorismate mutase	acidic_tyloxopol:14%; tyloxopol:13%	0.3473	0.000572725324246663	143.34	165	156	168	127	106	267.1	212.49
Rv2302	Rv2302	hypothetical protein	acidic:9%	0.3481	0.000695825933639756	143.23	163	150	156	137	113	731.67	581.81
Rv1744c	Rv1744c	membrane protein	hypoxia_late:15%; human_sputum:13%	0.3842	0.00296526355444357	139.79	129	128	126	177	142	244.72	189.31
MTS0194	MTS0194	small intergenic RNA	low_iron:21%	0.383	0.00284485295216136	141.11	127	138	130	175	138	288.15	222.94
trpD	Rv2192c	anthranilate phosphoribosyltransferase	microaerophilic:28%; hypoxia_late:12%	0.3643	0.00167485572180014	142.46	140	145	141	166	122	235.08	184.51
metE	Rv1133c	5-methyltetrahydropteroyltriglutamate-- homocysteine methyltransferase	microaerophilic:14%	0.4338	0.00623985111573911	137.53	100	113	106	196	188	2252.19	1683.67
che1	Rv2393	ferrochelatase	microaerophilic:17%	0.3561	0.00156282089064881	143.61	144	140	143	170	123	735.08	580.78
cobIJ	Rv2066	bifunctional S-adenosyl-L-methionine-precorrin-2 methyl transferase/precorrin-3 methylase	hypoxia_late:20%	0.393	0.00351227986799288	145.91	123	144	127	203	139	175.67	135.03
PE_PGRS4	Rv0279c	PE-PGRS family protein PE_PGRS4	microaerophilic:40%; hypoxia_late:15%	0.6068	0.0153989271545915	147.76	50	102	43	208	512	159.73	105.16
mce4F	Rv3494c	Mce family protein Mce4	butyrate_plus_glucose:12%	0.342	0.000815003244885238	147.84	166	147	159	161	110	212.85	169.71
MT0291.4	MT0291.4	hypothetical protein	microaerophilic:42%; hypoxia_late:13%	0.6329	0.0160578474620437	148.23	42	101	40	223	533	210.3	135.94
PE_PGRS30	Rv1651c	PE-PGRS family protein PE_PGRS30	microaerophilic:27%; hypoxia_late:13%	0.4999	0.0112396718729941	144.87	71	108	76	165	392	112.98	80.32
PPE38	Rv2352c	PPE family protein PPE38	hypoxia_late:30%	0.3618	0.00216958437526361	149.7	130	160	163	169	129	154.42	121.36
mtr	Rv2855	mycothione reductase	hypoxia_late:11%; tyloxopol:10%	0.3256	0.000339148194139168	153.26	183	167	185	138	102	163.65	131.95
argJ	Rv1653	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase	hypoxia_late:21%; hypoxia_hypoxic:14%	0.3786	0.00337553425262211	149.99	133	154	135	200	133	125.22	97.18
tgs2	Rv3734c	diacyglycerol O-acyltransferase	acidic:16%; acidic_tyloxopol:12%	0.3506	0.00142680710344394	151.59	156	151	158	171	124	368.55	292.29
cobS	Rv2208	cobalamin synthase	hypoxia_late:11%	0.3589	0.00215625578865	150.6	148	155	144	184	125	278.08	219.15
PE_PGRS61	Rv3653	PE-PGRS family-related protein PE_PGRS61	hypoxia_late:43%	0.4842	0.0160780786880614	139.68	95	66	74	266	266	37.56	26.79
Rv2230c	Rv2230c	GTP cyclohydrolase	hypoxia_late:17%	0.3354	0.000693184459512171	154	176	162	174	144	118	152.92	122.5
Rv3040c	Rv3040c	hypothetical protein	hypoxia_late:14%	0.3424	0.00142053788001952	152.69	169	146	169	147	134	115.99	92.33
Rv2100	Rv2100	hypothetical protein	hypoxia_late:16%	0.3235	0.000517678799569811	157.87	184	165	182	157	108	163.38	131.92
Rv3733c	Rv3733c	hypothetical protein	acidic_tyloxopol:15%; acidic:14%	0.3198	0.000417179726071145	159	190	170	195	142	107	351.9	285.33
Rv1312	Rv1312	hypothetical protein	ctl_exponential:14%; INDIGO_exponential:11%	0.3245	0.000662130947881329	158.16	181	159	179	174	105	907.16	733.15
eccB2	Rv3895c	ESX-2 secretion system protein EccB	hypoxia_late:25%	0.3314	0.000959916597118847	156.27	175	164	188	133	126	75.07	60.21
PE_PGRS12	Rv0832	PE-PGRS family protein PE_PGRS12	hypoxia_late:20%	0.3645	0.00454522017968968	151.89	146	132	133	188	164	159.57	125.16
TB31.7	Rv2623	universal stress protein	cholesterol:22%; microaerophilic:17%; ctl_stationary:15%; hypoxia_hypoxic:13%	0.4415	0.0102256283496875	157.74	94	125	117	155	348	277.12	206.57
PE_PGRS13	Rv0833	PE-PGRS family protein PE_PGRS13	microaerophilic:24%; hypoxia_late:19%	0.4821	0.0147831892595831	158.44	76	118	84	183	427	101.17	72.8
PE_PGRS43	Rv2490c	PE-PGRS family protein PE_PGRS43	hypoxia_late:61%	0.4456	0.010629917847052	159.5	89	127	120	154	364	21.8	15.92
gatA	Rv3011c	glutamyl-tRNA(GLN) amidotransferase subunit A	hypoxia_late:24%	0.3696	0.00454720597061884	160.25	137	161	142	216	151	147.52	115.21
obg	Rv2440c	GTPase Obg	PBS_RIF_DDmtb:14%; acidic:10%	0.3172	0.000805913058671836	170.64	193	175	187	189	116	255.19	207.1
nuoG	Rv3151	NADH-quinone oxidoreductase subunit G	high_iron:15%; butyrate_plus_glucose:11%	0.3526	0.00360750843149325	162.25	154	148	150	201	161	788.88	624.65
atpH	Rv1307	ATP synthase subunit b/delta	INDIGO_exponential:12%; ctl_exponential:11%	0.3406	0.00240371091595068	161.89	168	152	164	173	153	2457.21	1963.88
Rv3633	Rv3633	hypothetical protein	acidic:19%; acidic_tyloxopol:16%	0.3521	0.0034470694962447	163.11	151	157	153	214	145	740.74	586.78
Rv0515	Rv0515	hypothetical protein	zinc_limitation:11%	0.3174	0.00083889483526709	172.3	192	176	194	192	115	248.64	201.75
mce4D	Rv3496c	Mce family protein Mce4D	butyrate_plus_glucose:9%	0.318	0.000871551630872955	173.36	189	177	200	186	121	257.95	209.23
cut2	Rv2301	cutinase	acidic_tyloxopol:10%	0.3348	0.00207686028522735	170.67	174	173	183	182	143	179.31	143.7
