GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0827c_ATC_noDrug	Rv0827c_DMSO_noDrug
Rv2525c	Rv2525c	hypothetical protein	tyloxopol:11%; hypoxia_late:10%	0.5388	1.54754141136442e-12	73.53	39	39	29	441	16	417.68	265.36
Rv0921	Rv0921	resolvase	microaerophilic:15%; hypoxia_late:14%; ctl_stationary:11%	0.5733	6.73098553886792e-09	64.86	31	34	30	294	39	201.03	124.58
Rv3054c	Rv3054c	hypothetical protein	hypoxia_fatty_acids:43%; hypoxia_late:10%; ctl_stationary:10%	0.6911	0.000161393794693279	46.88	33	18	11	74	152	26.21	14.35
Rv2256c	Rv2256c	hypothetical protein	cholesterol:8%	0.5355	8.96043057832798e-12	77.02	42	43	36	415	20	1551.05	992.37
xerC	Rv2894c	tyrosine recombinase XerC	hypoxia_late:17%; cholesterol:12%	0.6168	2.58424136149685e-05	67.82	22	26	49	163	135	390.66	235.89
Rv2255c	Rv2255c	hypothetical protein	ctl_stationary:14%	0.6074	9.05447615668686e-06	69.46	37	31	46	182	95	231.8	140.61
dnaQ	Rv3711c	DNA polymerase III subunit epsilon	high_iron:10%	0.5388	5.53254999622238e-10	80.92	41	42	44	403	29	507.9	323.76
Rv1433	Rv1433	hypothetical protein	tyloxopol:10%	0.5312	1.51409136652444e-10	83.44	46	44	40	434	26	361.66	231.54
dacB1	Rv3330	penicillin-binding protein DacB	hypoxia_late:17%; tyloxopol:12%; high_iron:12%	0.5355	2.90514803654974e-09	84.96	45	46	48	404	31	253.24	161.61
Rv2734	Rv2734	hypothetical protein	zinc_limitation:37%; hypoxia_late:11%	0.4965	5.43625397008123e-09	91.35	51	50	19	539	36	145.9	95.51
sapM	Rv3310	acid phosphatase	tyloxopol:10%	0.531	2.64939904590116e-08	93.32	47	48	50	418	49	238.23	152.57
Rv3555c	Rv3555c	hypothetical protein	hypoxia_late:17%; zinc_limitation:13%; human_sputum:10%	0.5068	6.08008654969934e-07	108.3	50	53	45	525	65	116.37	75.53
lprE	Rv1252c	lipoprotein LprE	hypoxia_late:13%; tyloxopol:11%	0.543	1.07146508399597e-05	117.37	43	41	79	549	79	131.02	82.35
MT1025.3	MT1025.3	hypothetical protein	cholesterol:12%; zinc_limitation:10%	0.5044	5.62766004939109e-07	126.05	49	52	59	709	58	865.22	564.34
Rv2927c	Rv2927c	hypothetical protein	cholesterol:11%; tyloxopol:10%	0.5385	3.667798085071e-05	109.26	40	45	57	424	123	1220.62	778.99
Rv1251c	Rv1251c	hypothetical protein	hypoxia_late:19%	0.4779	2.04616920197643e-07	156.87	52	60	66	1088	43	107.95	71.45
Rv3828c	Rv3828c	resolvase	hypoxia_late:16%; zinc_limitation:14%	0.4667	7.77468871956462e-05	173.31	62	75	100	855	101	149.29	100.07
Rv1158c	Rv1158c	hypothetical protein	tyloxopol:14%; hypoxia_late:11%; hypoxia_hypoxic:11%; butyrate_plus_glucose:10%	0.5348	0.000366699931202096	127.12	44	49	78	442	166	663.89	424.87
Rv1043c	Rv1043c	hypothetical protein	INDIGO_exponential:9%	0.5278	0.00117396354351615	146.27	48	51	89	546	185	109.25	69.64
alaV	Rvnt15	tRNA-Ala	hypoxia_late:16%; hypoxia_hypoxic:16%	0.6444	0.00610579269463051	102.43	69	20	22	271	278	78.18	45.05
Rv0500A	Rv0500A	DNA-binding protein	acidic:14%; INDIGO_exponential:12%; ctl_exponential:10%	0.2914	1.1033684308395e-05	162.77	254	252	235	8	191	1197.23	989.96
Rv2254c	Rv2254c	integral membrane protein	PBS_RIF_DDmtb:20%; ctl_stationary:18%	0.5471	0.00403491206467478	166.25	55	47	108	664	197	42.68	26.32
mcr16	Rvnc0013	putative small regulatory RNA	low_iron:16%; hypoxia_fatty_acids:14%	0.4819	0.00160499380288632	193.9	63	54	64	1182	143	328.76	217.24
Rv0383c	Rv0383c	hypothetical protein	hypoxia_fatty_acids:8%	0.2728	3.32671664340746e-06	169.25	279	270	239	9	181	818.89	686.6
Rv1700	Rv1700	NUDIX hydrolase	acidic:9%	0.2833	9.06146210359258e-05	175.95	269	265	245	12	211	369.26	307.29
lppW	Rv2905	lipoprotein LppW	tyloxopol:10%	0.2839	6.55786134708838e-05	181.92	272	276	264	15	202	484.13	402.82
Rv3311	Rv3311	hypothetical protein	hypoxia_rar:8%	0.2831	8.05493317832503e-05	177.54	274	278	250	10	208	181.46	151.01
MT1025.2	MT1025.2	hypothetical protein	cholesterol:16%; zinc_limitation:12%	0.4824	4.57197965141627e-06	275.73	53	56	55	2915	47	919.32	609.36
Rv2024c	Rv2024c	hypothetical protein	zinc_limitation:16%	0.2844	0.000121508472314811	178.88	265	262	255	14	216	136.51	113.27
ctpD	Rv1469	cobalt/nickel-exporting P-type ATPase	hypoxia_late:15%	0.2704	1.72109545133878e-05	175.06	285	275	232	11	200	141.49	118.68
Rv0183	Rv0183	lysophospholipase	PBS_RIF_DDmtb:13%	0.28	8.3441045365881e-05	178.66	271	269	253	13	209	265.07	220.8
yfiH	Rv2149c	laccase domain-containing protein	low_iron:8%	0.2893	0.000347371556702057	189.38	261	267	273	22	228	237.88	196.99
moeA1	Rv0994	molybdopterin molybdenumtransferase 1	microaerophilic:9%	0.2679	2.53484750843937e-05	187.63	290	287	263	17	201	467.94	393.61
Rv1754c	Rv1754c	hypothetical protein	hypoxia_late:15%; tyloxopol:14%; ctl_stationary:11%	0.2807	0.000181989651381008	186.15	264	260	274	19	223	99.27	82.32
Rv1435c	Rv1435c	hypothetical protein	cholesterol:16%; ctl_exponential:12%	0.4773	3.24929462123378e-06	287.64	54	59	58	3192	32	1630.84	1086.14
MT3139.1	MT3139.1	hypothetical protein	human_sputum:8%	0.2713	0.00011839044213479	191.96	288	283	265	20	217	684.29	574.66
mpa	Rv2115c	proteasome-associated ATPase	cholesterol:13%; nutrient_limitation:12%	0.2705	0.000101033047356485	197.41	284	290	276	27	212	524.81	440.8
fxsA	Rv2053c	transmembrane protein FxsA	hypoxia_fatty_acids:18%	0.4745	9.49308313182608e-05	293.52	56	55	33	3445	40	282.52	187.92
MT0347	MT0347	hypothetical protein	hypoxia_fatty_acids:11%	0.2735	0.000276437471444142	193.69	286	281	247	24	234	155.41	130.08
lprJ	Rv1690	lipoprotein LprJ	hypoxia_rar:10%; hypoxia_late:10%	0.2816	0.000601247594824239	202.18	267	268	280	33	253	392.64	326.47
Rv2456c	Rv2456c	MFS-type transporter	hypoxia_late:10%	0.2618	0.000142942519492401	197.5	295	289	260	25	224	164.72	138.95
rpsR1	Rv0055	30S ribosomal protein S18	zinc_limitation:21%; hypoxia_rar:13%	0.2645	0.000195275428829859	198.67	297	291	261	23	232	726.57	612.94
ltp1	Rv2790c	lipid-transfer protein	zinc_limitation:20%	0.2703	0.000268335014404915	206.65	289	295	288	34	222	325.71	273.58
MTS0194	MTS0194	small intergenic RNA	low_iron:21%	0.2775	0.000619472513471862	203.42	283	279	267	28	261	344.25	288.15
MT2113	MT2113	hypothetical protein	hypoxia_fatty_acids:17%	0.4648	0.000194406581475315	298.61	59	57	32	3532	37	268.8	180.04
mymT	Rv0186A	metallothionein	hypoxia_fatty_acids:39%; microaerophilic:25%	0.2707	0.000422510483443075	207.33	281	280	291	35	241	1135.56	952.24
Rv1279	Rv1279	GMC-type oxidoreductase	zinc_limitation:15%	0.4657	8.05418392307492e-05	310.17	58	62	60	3470	35	263.04	176.13
groES	Rv3418c	chaperonin GroES	acidic_tyloxopol:12%; hypoxia_fatty_acids:12%	0.2551	0.000112852427918244	210.06	306	308	299	26	226	11877.51	10084
Rv1220c	Rv1220c	methyltransferase	hypoxia_late:15%	0.4709	0.000104374794387552	311.89	57	63	72	3224	57	438.94	293.32
Rv0883c	Rv0883c	hypothetical protein	hypoxia_late:9%	0.4642	0.000165070667419582	309	60	61	53	3277	61	194.35	130.38
htpX	Rv0563	protease HtpX	hypoxia_fatty_acids:23%; ctl_stationary:10%	0.2591	0.000286806307995773	210.3	308	303	275	30	240	211.07	178.64
Rv3226c	Rv3226c	hypothetical protein	PBS_RIF_DDmtb:22%; zinc_limitation:11%	0.2836	0.0021131346183858	211.46	276	274	257	42	290	95.44	79.26
lipU	Rv1076	lipase LipU	PBS_RIF_DDmtb:15%	0.2622	0.00041411997944041	210.55	300	294	277	31	252	162.13	136.82
Rv3604c	Rv3604c	transmembrane protein	hypoxia_late:12%	0.2578	0.000233833383317677	212.69	311	311	282	32	231	198.67	168.3
Rv2252	Rv2252	diacylglycerol kinase	PBS_RIF_DDmtb:15%; hypoxia_late:11%	0.2886	0.00323291322987509	209.44	266	255	243	44	319	58.03	47.84
Rv2621c	Rv2621c	transcriptional regulator	hypoxia_fatty_acids:18%; microaerophilic:14%; ctl_stationary:14%; low_iron:13%	0.2992	0.00362568835698179	212	248	248	269	50	318	84.48	68.9
Rv3258c	Rv3258c	hypothetical protein	tyloxopol:11%; ctl_exponential:11%; hypoxia_late:10%	0.4439	5.01019502363395e-05	323.43	66	65	56	3661	33	1052.72	717.46
Rv0191	Rv0191	MFS-type transporter	hypoxia_late:15%	0.2673	0.000822664329392206	214.92	292	293	278	37	267	96.52	81.11
ldtB	Rv2518c	L,D-transpeptidase LdtB	zinc_limitation:13%; hypoxia_rar:10%	0.2581	0.00031149682273956	221.01	302	313	305	41	237	193.34	163.47
Rv2410c	Rv2410c	hypothetical protein	zinc_limitation:8%	0.251	0.000333889677622012	214.72	314	300	259	38	255	162.21	137.82
Rv0064	Rv0064	transmembrane protein	microaerophilic:23%	0.2499	0.000273123762778374	220.88	317	324	295	36	235	79.85	67.9
Rv2885c	Rv2885c	transposase	zinc_limitation:27%; cholesterol:10%	0.4179	5.68722403355763e-06	337.25	74	72	47	3894	30	308.49	213.64
Rv0804	Rv0804	hypothetical protein	hypoxia_late:20%	0.265	0.00157273988275896	224.64	294	296	290	47	279	174.19	146.64
Rv2707	Rv2707	hypothetical protein	PBS_RIF_DDmtb:12%	0.2436	0.000213271549268807	219.47	336	323	254	39	243	204.79	175.12
prrB	Rv0902c	two component sensor histidine kinase PrrB	cholesterol:8%	0.2576	0.000803555901464068	231.02	303	317	313	49	259	161.69	136.76
Rv0184	Rv0184	hypothetical protein	zinc_limitation:18%; PBS_RIF_DDmtb:10%	0.4461	0.000363795906835981	330.25	64	68	61	3603	46	509.37	346.42
accD6	Rv2247	acetyl-/propionyl-CoA carboxylase subunit beta	acidic:12%; hypoxia_hypoxic:10%; low_iron:10%	0.2312	1.81797263396317e-05	223.13	352	335	279	40	213	1475.78	1273.83
crp	Rv3676	cAMP receptor protein	tyloxopol:8%	0.2443	0.000407778102590647	232.32	332	326	304	46	247	401.45	343.34
nrdF2	Rv3048c	ribonucleoside-diphosphate reductase subunit beta NrdF2	low_iron:13%	0.269	0.00280043242718562	238.53	282	305	322	62	294	132.71	111.07
Rv0999	Rv0999	hypothetical protein	high_iron:8%	0.2609	0.0019173928049836	239.96	291	318	339	55	280	203.47	171.38
rbsK	Rv2436	ribokinase RbsK	hypoxia_late:24%	0.2937	0.0084260804639128	240.5	260	266	286	86	358	53.18	43.6
Rv2411c	Rv2411c	hypothetical protein	zinc_limitation:8%	0.2429	0.000394526035967486	234.01	335	328	306	48	245	165.23	141.33
fadD22	Rv2948c	p-hydroxybenzoyl--AMP ligase	INDIGO_exponential:14%; acidic:11%	0.2488	0.00121647130088467	249.09	322	339	347	59	264	244.86	208.66
phoH2	Rv1095	phosphate starvation-inducible protein PsiH	high_iron:10%	0.4481	0.00107298798248646	342.44	61	69	80	3614	54	1262.5	857.53
Rv2975c	Rv2975c	hypothetical protein	hypoxia_late:15%	0.2504	0.00253309684967484	240.31	323	314	289	52	310	372.44	317.06
vapB30	Rv0623	antitoxin VapB30	hypoxia_fatty_acids:10%	0.2859	0.00904953642412906	259.17	277	301	324	98	346	250.01	207.38
MT2934	MT2934	hypothetical protein	hypoxia_fatty_acids:14%	0.2626	0.00541795660115857	246.57	304	292	281	73	349	83.54	70.25
PE_PGRS62	Rv3812	PE-PGRS family protein PE_PGRS62	hypoxia_late:17%	0.2547	0.00313600244231284	249.68	312	321	314	67	307	65.32	55.2
Rv0088	Rv0088	polyketide cyclase/dehydrase	acidic:12%	0.2445	0.00166268973741078	250.66	334	342	331	58	275	262.87	224.77
TB7.3	Rv3221c	hypothetical protein	microaerophilic:15%; acidic:14%	0.2457	0.00195505534213819	251.55	328	330	328	65	284	791.29	675.75
whiB2	Rv3260c	transcriptional regulator WhiB2	tyloxopol:12%; low_iron:10%	0.4299	0.000302363190532622	354.75	71	70	83	3818	42	1643.71	1128.41
mutT1	Rv2985	8-oxo-dGTP diphosphatase	high_iron:11%; tyloxopol:11%	0.241	0.000947748485252862	255.14	337	349	357	60	262	762.16	653.28
sigE	Rv1221	ECF RNA polymerase sigma factor SigE	hypoxia_fatty_acids:15%	0.2484	0.00231559067010066	254.13	326	338	336	63	289	203.24	173.28
Rv3005c	Rv3005c	hypothetical protein	high_iron:10%	0.4069	9.45290228093574e-05	364.96	86	87	63	3946	38	729.55	509.64
moeB1	Rv3206c	adenylyltransferase/sulfurtransferase	hypoxia_fatty_acids:15%	0.2266	0.000354353836858566	248.05	360	358	320	53	246	304.92	263.95
ung	Rv2976c	uracil-DNA glycosylase	acidic_tyloxopol:13%; zinc_limitation:10%	0.2358	0.00122087237069026	248.14	350	341	318	51	276	242.84	209.05
Rv0519c	Rv0519c	membrane protein	hypoxia_late:16%	0.4349	0.00146641816963958	346.91	73	73	54	3691	63	181.87	124.35
mntH	Rv0924c	divalent metal cation transporter MntH	hypoxia_late:16%	0.2631	0.00565119390775463	260.17	298	320	330	84	330	59.03	49.51
MT0610	MT0610	hypothetical protein	ctl_stationary:10%	0.2344	0.00116653376640338	253.12	348	346	332	57	273	286.5	246.54
Rv3230c	Rv3230c	stearoyl-CoA 9-desaturase electron transfer protein	zinc_limitation:19%; PBS_RIF_DDmtb:11%	0.2197	0.000160978685267497	248.78	371	366	312	54	239	475.86	413.97
Rv3811	Rv3811	hypothetical protein	high_iron:10%; human_sputum:10%	0.4186	0.000522642717106746	361.02	77	85	70	3791	50	284.54	197.12
mtc28	Rv0040c	hypothetical protein	tyloxopol:14%; hypoxia_hypoxic:13%	0.2303	0.000540436290758798	258.58	347	362	361	61	254	867.76	748.95
mtrA	Rv3246c	two component DNA-binding response regulator MtrA	cholesterol:12%	0.4118	0.000250835256516919	366.99	81	84	76	3868	45	1847.86	1287.95
PE_PGRS26	Rv1441c	PE-PGRS family protein PE_PGRS26	hypoxia_late:26%; human_sputum:11%	0.2483	0.00283430797508969	269.2	321	355	363	89	282	182.56	155.56
MT2246	MT2246	hypothetical protein	zinc_limitation:43%; hypoxia_late:12%	0.4685	0.0187521805344089	318.33	75	58	84	2539	179	96.18	63.78
ctpH	Rv0425c	metal cation transporting ATPase H	zinc_limitation:11%	0.2233	0.000360786613762514	255.76	366	368	338	56	249	378.53	328.42
Rv0607	Rv0607	hypothetical protein	zinc_limitation:13%; hypoxia_late:12%; ctl_stationary:12%; PBS_RIF_DDmtb:11%	0.4675	0.053117889513721	299.77	89	64	85	1985	236	44.57	29.28
Rv0089	Rv0089	methyltransferase	hypoxia_late:8%	0.2745	0.012569734448671	268.21	301	306	300	96	397	71.15	59.48
vapB22	Rv2830c	antitoxin VapB22	microaerophilic:20%; acidic:11%; ctl_stationary:10%	0.2445	0.00373579937844562	259.5	325	319	311	76	335	416.58	354.93
vapC26	Rv0582	ribonuclease VapC26	tyloxopol:10%	0.2504	0.0047488592293219	264.01	318	325	321	87	329	215.67	183.18
Rv3716c	Rv3716c	hypothetical protein	zinc_limitation:10%	0.2337	0.00140167217417976	260.48	339	344	353	69	277	577.06	496.12
dnaE1	Rv1547	DNA polymerase III subunit alpha	zinc_limitation:13%	0.4151	0.000583805221086264	369.43	76	83	82	3845	52	313.63	217.63
recO	Rv2362c	DNA repair protein RecO	zinc_limitation:11%	0.2406	0.00324891002296196	264.38	340	348	325	72	313	133.73	114.54
Rv3524	Rv3524	membrane protein	zinc_limitation:16%	0.2329	0.00135636634601385	269.51	358	374	362	71	268	382.53	329.79
radA	Rv3585	DNA repair protein RadA	zinc_limitation:25%	0.4176	0.00117307034962791	367.65	80	86	77	3745	59	255.16	176.98
argA	Rv2747	L-glutamate alpha-N-acetyltranferase	hypoxia_late:11%; human_sputum:11%	0.2632	0.0111589903135434	274.01	316	315	307	102	385	98.45	82.87
Rv3767c	Rv3767c	S-adenosylmethionine-dependent methyltransferase	nutrient_limitation:14%; butyrate_plus_glucose:11%	0.2329	0.00295431611002971	260.44	351	333	302	68	327	101.73	87.43
pyrE	Rv0382c	orotate phosphoribosyltransferase	PBS_RIF_DDmtb:12%	0.234	0.00261761139644475	270.19	357	357	335	75	304	266.53	229.5
relF	Rv2865	antitoxin RelF	hypoxia_fatty_acids:21%	0.2775	0.0181416238126126	284.26	296	307	326	127	410	141.06	117.64
ctpC	Rv3270	manganese/zinc-exporting P-type ATPase	hypoxia_fatty_acids:28%; butyrate:22%; PBS_RIF_DDmtb:13%	0.2086	0.000127011178987547	266.92	392	383	345	66	244	853.42	748.14
MT1821.1	MT1821.1	hypothetical protein	nutrient_limitation:12%	0.2535	0.012408255090641	269.65	330	297	258	104	418	274.84	233.32
plcA	Rv2351c	membrane-associated phospholipase A	ctl_stationary:14%; hypoxia_late:13%; human_sputum:11%	0.2384	0.004046198233786	277.8	341	359	356	83	322	68.45	58.58
Rv2015c	Rv2015c	hypothetical protein	zinc_limitation:17%; hypoxia_late:12%	0.4382	0.00432030020143783	363.71	68	71	90	3715	68	219.05	149.12
Rv3209	Rv3209	hypothetical protein	tyloxopol:13%; butyrate_plus_glucose:10%; high_iron:10%	0.4243	0.00520950239676461	360.48	78	76	51	3778	77	212.17	146.11
fadE21	Rv2789c	acyl-CoA dehydrogenase FadE21	zinc_limitation:18%	0.2371	0.00332661573039534	282.45	344	375	377	93	291	237.98	204.5
Rv1378c	Rv1378c	hypothetical protein	zinc_limitation:16%; hypoxia_late:14%	0.3939	0.000680888726194316	384.9	91	90	75	3968	55	201.49	141.74
Rv0738	Rv0738	hypothetical protein	hypoxia_late:19%; cholesterol:13%	0.2371	0.00424125715743518	278.38	346	353	354	85	324	192.63	165.33
Rv0431	Rv0431	tuberculin-like peptide	tyloxopol:14%; high_iron:12%	0.2318	0.00305294575650859	278.34	359	364	355	81	308	320.65	276.68
pks1	Rv2946c	polyketide synthase	acidic:13%; high_iron:10%	0.2211	0.00125054600314392	277.82	369	380	373	78	272	289.33	251.37
Rv0312	Rv0312	hypothetical protein	hypoxia_late:14%; tyloxopol:11%; ctl_exponential:10%; hypoxia_hypoxic:10%	0.3469	0.000101866396603051	397.44	102	102	65	4227	41	230.66	167.68
Rv0997	Rv0997	hypothetical protein	hypoxia_rar:13%	0.4165	0.00272332131648599	379.24	79	82	81	3859	69	496.34	343.93
Rv1592c	Rv1592c	hypothetical protein	ctl_stationary:13%	0.2266	0.00217327308214919	281.9	356	365	376	88	296	155.7	134.32
Rv1434	Rv1434	hypothetical protein	cholesterol:15%; high_iron:11%	0.4468	0.0104794805920246	361.35	70	67	88	3568	88	801.92	544.36
ripA	Rv1477	peptidoglycan endopeptidase RipA	high_iron:14%; tyloxopol:13%; hypoxia_hypoxic:11%; INDIGO_exponential:11%	0.3506	0.000113580924848579	398.07	100	101	69	4195	44	637.23	463.05
Rv1042c	Rv1042c	IS2-like transposase	ctl_stationary:14%	0.4138	0.00434510098358216	375.61	82	79	62	3897	75	345.22	239.49
thiL	Rv2977c	thiamine-monophosphate kinase	zinc_limitation:18%; hypoxia_late:14%	0.3675	0.000619924049290176	396.55	97	95	73	4115	53	304.99	218.79
Rv1041c	Rv1041c	IS2-like transposase	ctl_stationary:13%	0.4072	0.00341484151551678	383.66	84	81	71	3944	73	179.9	125.01
Rv1149	Rv1149	transposase	ctl_stationary:14%	0.4131	0.00463830594793254	380.51	85	80	67	3902	76	345.81	240
guaB2	Rv3411c	inosine-5'-monophosphate dehydrogenase	microaerophilic:18%	0.2066	0.000477255942047803	282.19	400	392	358	82	263	399.71	350.87
Rv2513	Rv2513	hypothetical protein	nutrient_limitation:9%	0.2467	0.0152538409993217	298.26	333	340	351	125	390	159.76	136.15
Rv0180c	Rv0180c	transmembrane protein	zinc_limitation:10%	0.2069	0.000896934646156025	278.46	405	385	317	80	287	165.23	144.96
Rv0060	Rv0060	hypothetical protein	zinc_limitation:11%	0.2111	0.00124020688303738	282.56	397	389	348	77	288	247.68	216.86
Rv0128	Rv0128	transmembrane protein	human_sputum:10%	0.2301	0.00569195716479431	285.07	361	354	340	92	345	115.43	99.51
vapC5	Rv0627	ribonuclease VapC5	PBS_RIF_DDmtb:10%	0.2365	0.0100968884771746	292.97	345	351	346	110	368	195.58	167.72
Rv1765c	Rv1765c	hypothetical protein	zinc_limitation:19%; hypoxia_late:11%	0.437	0.0109741680293771	376.86	72	78	105	3667	80	200.29	136.49
PE24	Rv2408	PE family protein PE24	hypoxia_late:18%	0.2292	0.0059690133187942	283.18	363	347	323	90	361	113.63	97.97
Rv0185	Rv0185	hypothetical protein	zinc_limitation:17%; PBS_RIF_DDmtb:16%	0.3908	0.00284802554688918	390.22	92	93	74	3907	71	446.54	316.04
fmt	Rv1406	methionyl-tRNA formyltransferase	hypoxia_late:17%; zinc_limitation:14%	0.2316	0.00628943827906596	293.89	343	360	371	109	343	122.31	105.07
PE_PGRS31	Rv1768	PE-PGRS family protein PE_PGRS31	hypoxia_late:21%	0.352	0.000845703064933472	411.21	101	103	86	4152	56	282.74	205.21
Rv2721c	Rv2721c	hypothetical protein	tyloxopol:10%	0.3146	5.11039839540642e-05	424.09	125	119	68	4317	48	591.28	440.72
Rv3312c	Rv3312c	hypothetical protein	hypoxia_late:11%	0.2256	0.00837419641859017	285.67	365	345	297	99	386	77.01	66.54
