GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0494_DMSO_RIF	Rv0494_DMSO_noDrug
Rv0530	Rv0530	hypothetical protein	zinc_limitation:12%	0.2955	1.24631501145556e-05	54.34	73	70	60	44	31	511.76	418.39
guaB1	Rv1843c	inosine-5'-monophosphate dehydrogenase	acidic:7%	0.2894	2.31984911104082e-06	54.74	77	71	57	47	29	547.7	449.71
Rv1841c	Rv1841c	hypothetical protein	zinc_limitation:8%	0.3282	0.000594941396722825	57.95	58	72	71	52	40	313.55	250.54
Rv3836	Rv3836	hypothetical protein	PBS_RIF_DDmtb:12%; ctl_stationary:11%	0.3601	0.00327188517714251	57.19	45	52	58	58	75	105.99	82.7
rpoC	Rv0668	DNA-directed RNA polymerase subunit beta'	PBS_RIF_DDmtb:21%; nutrient_limitation:19%	0.3485	0.00232887157173133	57.69	43	63	66	56	62	1875.76	1478.52
pks1	Rv2946c	polyketide synthase	acidic:13%; high_iron:10%	0.3428	0.0018631875811265	61.31	49	73	75	62	50	539.58	426.92
proB	Rv2439c	glutamate 5-kinase protein	hypoxia_late:18%	0.2926	0.000189737242079445	62.19	75	77	70	50	43	165.62	135.5
lat	Rv3290c	L-lysine-epsilon aminotransferase	hypoxia_fatty_acids:31%; cholesterol:16%; microaerophilic:14%; ctl_stationary:13%	0.292	0.000312542978088588	66.49	76	82	76	53	49	114.4	93.59
cydC	Rv1620c	cytochrome biosyntheisis ABC transporter ATP-binding protein/permease CydC	hypoxia_late:25%	0.283	0.000176231805795522	71	82	89	92	55	44	126.44	104.08
pyrB	Rv1380	aspartate carbamoyltransferase	hypoxia_late:18%; zinc_limitation:10%	0.32	0.0027610241753558	64.26	63	54	61	57	89	45.21	36.08
PPE29	Rv1801	PPE family protein PPE29	hypoxia_late:24%; ctl_stationary:19%; PBS_RIF_DDmtb:14%	0.381	0.0109061709895725	63.25	39	40	30	76	169	9.61	7.09
Rv0836c	Rv0836c	hypothetical protein	hypoxia_late:23%; ctl_stationary:14%; hypoxia_fatty_acids:14%	0.3678	0.0104999591408643	68.27	44	46	53	75	143	29.3	22.41
Rv3837c	Rv3837c	phosphoglycerate mutase	hypoxia_fatty_acids:15%; ctl_stationary:14%; microaerophilic:10%	0.2687	0.000114526626454172	74	98	98	74	59	48	353.45	294.35
PE_PGRS42	Rv2487c	PE-PGRS family protein PE_PGRS42	hypoxia_late:60%	0.3486	0.00740377141424064	77.77	50	87	89	77	90	22.17	17.23
echA12	Rv1472	enoyl-CoA hydratase EchA12	hypoxia_rar:10%	0.2876	0.00108711817991114	79.82	74	96	114	68	54	227.45	186.64
PE_PGRS50	Rv3345c	PE-PGRS family protein PE_PGRS50	hypoxia_late:56%	0.3952	0.0124073973891057	81.6	31	76	81	61	198	15.94	11.88
MT1849.1	MT1849.1	hypothetical protein	PBS_RIF_DDmtb:24%; hypoxia_late:19%; ctl_stationary:17%	0.5729	0.0417169293523705	78.04	40	5	8	180	375	6.75	3.85
Rv3136A	Rv3136A	hypothetical protein	zinc_limitation:21%; hypoxia_rar:10%	0.2776	0.000608417109735765	81.88	88	108	104	65	52	964.08	798.16
prpC	Rv1131	methylcitrate synthase PrpC	human_sputum:22%; hypoxia_fatty_acids:16%; PBS_RIF_DDmtb:15%; acidic_tyloxopol:14%; nutrient_limitation:11%	0.3256	0.00778658418427723	78.48	65	68	69	70	128	24.14	19.07
Rv0628c	Rv0628c	hypothetical protein	hypoxia_fatty_acids:11%; hypoxia_late:11%; ctl_stationary:10%	0.2653	0.000362354498636845	80.97	101	103	83	64	59	154.14	128.54
drrC	Rv2938	daunorubicin ABC transporter permease DrrC	INDIGO_exponential:14%	0.2679	0.000367227324902095	81.15	99	104	91	63	55	231.16	192.52
cysA1	Rv2397c	sulfate ABC transporter ATP-binding protein CysA	nutrient_limitation:34%; PBS_RIF_DDmtb:12%	0.2833	0.00128848284428217	82.12	84	109	97	69	57	303.15	249.91
Rv2159c	Rv2159c	hypothetical protein	microaerophilic:20%; cholesterol:14%; acidic_tyloxopol:10%	0.3495	0.00887382864779175	82.67	46	81	84	60	163	543.81	428.22
mutT3	Rv0413	8-oxo-dGTP diphosphatase	hypoxia_late:12%	0.2729	0.00107296652332913	81.21	92	100	85	66	66	208.43	172.96
PE_PGRS9	Rv0746	PE-PGRS family protein PE_PGRS9	hypoxia_late:40%	0.284	0.00204119824521591	86.99	83	110	110	72	65	59.62	48.93
Rv1760	Rv1760	diacylglycerol acyltransferase	hypoxia_late:12%; acidic_tyloxopol:10%	0.274	0.00163732446027533	82.83	90	97	88	67	74	64.08	52.98
PE_PGRS49	Rv3344c	PE-PGRS family protein PE_PGRS49	hypoxia_late:54%	0.4515	0.0257760119100709	102.11	25	86	80	105	291	25.55	18.39
PE_PGRS36	Rv2098c	PE-PGRS family protein	hypoxia_late:52%	0.3331	0.0116660341891446	85.11	60	78	78	82	136	20.17	15.81
pks17	Rv1663	polyketide synthase	hypoxia_late:24%; human_sputum:12%	0.3119	0.00646465829343625	88.54	72	106	101	80	86	44.58	35.84
Rv0530A	Rv0530A	hypothetical protein	acidic_tyloxopol:9%	0.2735	0.00231830938716226	82.13	96	88	73	71	84	493.81	409.75
secA1	Rv3240c	protein translocase subunit SecA	zinc_limitation:12%	0.2538	6.56092110793112e-05	90.15	121	113	102	74	51	280.11	235.64
pca	Rv2967c	pyruvate carboxylase	hypoxia_late:14%	0.2577	0.00035326587606913	89.71	116	118	98	73	53	137.76	115.5
PE_PGRS38	Rv2162c	PE-PGRS family protein PE_PGRS38	microaerophilic:22%	0.2903	0.00364356369560339	94.09	80	120	124	85	68	1208.44	991.86
dnaJ2	Rv2373c	chaperone protein DnaJ	microaerophilic:16%	0.2579	0.000548197418755221	94.64	119	124	103	78	58	539.6	452.92
PPE51	Rv3136	PPE family protein PPE51	zinc_limitation:19%; hypoxia_rar:12%	0.2598	0.000915631281341019	98.26	108	125	125	81	61	1119.09	938.17
corA	Rv1239c	magnesium and cobalt transport transmembrane protein CorA	zinc_limitation:14%; PBS_RIF_DDmtb:11%	0.3353	0.0134998484195563	99.24	53	94	134	115	111	44.77	35.26
PE_PGRS41	Rv2396	acid and phagosome regulated protein AprC	nutrient_limitation:19%; acidic:15%	0.259	0.00108310909014025	99.87	114	130	115	84	64	1097.47	920.49
murE	Rv2158c	UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase	microaerophilic:26%; cholesterol:14%	0.273	0.00266841239171687	103.42	94	129	157	87	63	394.57	327.59
PE_PGRS23	Rv1243c	PE-PGRS family protein PE_PGRS23	hypoxia_late:40%	0.296	0.00914895633733317	103.18	78	123	117	99	102	40.82	33.16
obg	Rv2440c	GTPase Obg	PBS_RIF_DDmtb:14%; acidic:10%	0.2509	0.000733283682621817	102.5	133	134	109	79	67	231.64	195.27
drrA	Rv2936	daunorubicin ABC transporter ATP-binding protein DrrA	hypoxia_rar:12%	0.2692	0.00307961026965701	105.29	100	139	136	90	70	490.63	408.58
Rv2466c	Rv2466c	hypothetical protein	hypoxia_fatty_acids:20%; ctl_stationary:11%; zinc_limitation:10%; PBS_RIF_DDmtb:10%; microaerophilic:10%	0.2966	0.0126823394287729	100.2	81	90	93	92	152	54.6	44.37
mtn	Rv0091	bifunctional 5'-methylthioadenosine nucleosidase	hypoxia_late:20%; ctl_stationary:10%	0.3606	0.0339444675579201	116.67	54	91	120	148	196	22.88	17.49
Rv3605c	Rv3605c	hypothetical protein	microaerophilic:36%	0.2625	0.00370681854793604	104.09	111	127	116	88	82	298.08	249.36
Rv2843	Rv2843	hypothetical protein	hypoxia_late:15%	0.2771	0.00937772706597668	107.51	91	107	118	94	130	104.59	86.34
Rv2182c	Rv2182c	1-acylglycerol-3-phosphate O-acyltransferase	acidic:12%	0.2419	0.000558736220534908	111.63	140	138	140	83	69	425.92	361.29
Rv2877c	Rv2877c	integral membrane protein	PBS_RIF_DDmtb:59%	0.2652	0.00568954408820914	115.81	109	142	143	97	93	163.67	136.57
TB22.2	Rv3036c	hypothetical protein	hypoxia_late:10%	0.2604	0.00591464190905202	107.09	120	111	96	86	125	93.11	77.8
ggtB	Rv2394	gamma-glutamyltranspeptidase precursor GgtB	PBS_RIF_DDmtb:11%	0.2563	0.00287754465102994	117.17	124	144	142	106	77	335.4	281.74
murX	Rv2156c	phospho-N-acetylmuramoyl- pentappeptidetransferase	microaerophilic:37%	0.2433	0.00143746541627107	116.41	144	149	126	96	76	320.51	271.67
Rv1462	Rv1462	hypothetical protein	low_iron:27%; zinc_limitation:16%	0.2556	0.00294958753970618	117.7	126	143	147	101	79	247.2	207.72
Rv0849	Rv0849	MFS-type transporter	microaerophilic:57%	0.2985	0.0174159055544644	121.88	86	133	132	118	145	30.36	24.57
Rv0047c	Rv0047c	hypothetical protein	hypoxia_hypoxic:15%; hypoxia_fatty_acids:11%	0.2493	0.00327733544335949	110.65	137	128	107	89	96	200.05	168.79
PE_PGRS43	Rv2490c	PE-PGRS family protein PE_PGRS43	hypoxia_late:61%	0.3466	0.0305518866865682	135.31	55	132	138	108	293	18.63	14.46
PE_PGRS59	Rv3595c	PE-PGRS family protein PE_PGRS59	hypoxia_late:15%	0.2682	0.00850704825681953	127.81	106	161	160	122	97	148.32	123.47
Rv1473	Rv1473	macrolide ABC transporter ATP-binding protein	PBS_RIF_DDmtb:12%	0.2368	0.00125090271823319	124.63	155	148	162	93	78	146.32	124.44
folK	Rv3606c	2-amino-4-hydroxy-6- hydroxymethyldihydropteridinepyrophosphokinase	microaerophilic:38%	0.2526	0.00545027586410666	127.98	136	155	152	112	91	322.13	271.36
pyrC	Rv1381	dihydroorotase	hypoxia_late:20%; zinc_limitation:12%	0.2426	0.00458106882055676	118.04	152	137	99	98	109	69.56	58.84
whiA	Rv1423	transcriptional regulator WhiA	hypoxia_late:11%	0.2312	0.00096502866827485	124.11	176	164	123	91	81	263.28	225.01
oplA	Rv0266c	5-oxoprolinase OplA	hypoxia_late:17%; PBS_RIF_DDmtb:11%	0.2406	0.00252757428768159	126.86	146	163	159	95	83	47.14	39.86
MT1490	MT1490	hypothetical protein	hypoxia_late:38%; PBS_RIF_DDmtb:12%	0.477	0.126532278879962	138.81	70	49	54	228	445	16.23	10.97
Rv2698	Rv2698	transmembrane protein	PBS_RIF_DDmtb:12%; ctl_stationary:10%	0.2726	0.0152762836620491	128.4	95	119	163	130	140	129.05	106.82
pheT	Rv1650	phenylalanine--tRNA ligase subunit beta	hypoxia_late:10%	0.2329	0.000902311917197564	132.02	165	167	170	102	73	195.74	167.01
amiC	Rv2888c	amidase AmiC	PBS_RIF_DDmtb:9%	0.2332	0.00148481336851753	133.47	167	172	150	111	80	386.46	329.91
Rv2160c	Rv2160c	conserved hypothetical protein	microaerophilic:31%; cholesterol:13%	0.2441	0.00376999594916819	135.01	147	173	166	107	92	652.56	552.85
PE_PGRS29	Rv1468c	PE-PGRS family protein PE_PGRS29	hypoxia_late:16%; microaerophilic:14%	0.2502	0.00551002108848478	133.94	138	166	169	110	95	136.81	115.24
ftsX	Rv3101c	cell division protein FtsX	zinc_limitation:13%	0.2403	0.00437114932599651	130.83	149	146	154	109	101	137.32	116.43
Rv2944	Rv2944	insertion sequence element IS1533 transposase	hypoxia_late:12%	0.2551	0.0120448198384016	129.01	128	122	122	117	158	74.14	62.12
Rv3289c	Rv3289c	transmembrane protein	microaerophilic:33%; ctl_stationary:18%; hypoxia_fatty_acids:16%	0.2837	0.0308220918346344	137.26	104	121	129	137	205	76.2	62.62
iniB	Rv0341	isoniazid inducible protein IniB	hypoxia_rar:23%; acidic:22%; hypoxia_hypoxic:12%; acidic_tyloxopol:11%	0.4005	0.0706609286436269	160.4	30	112	121	162	554	813.09	616.8
MT2168	MT2168	hypothetical protein	acidic_tyloxopol:10%	0.3141	0.0668698701423968	135.47	85	80	82	178	311	104.92	84.12
Rv2090	Rv2090	5'-3' exonuclease	hypoxia_late:10%	0.2277	0.0015800405560506	133.88	181	181	135	100	87	187.11	160.27
PE_PGRS6	Rv0532	PE-PGRS family protein PE_PGRS6	hypoxia_late:26%	0.2563	0.00765180024368953	142.34	129	189	180	125	99	125.25	105.09
aspS	Rv2572c	aspartate--tRNA ligase	zinc_limitation:15%; hypoxia_late:13%	0.2331	0.00218581813483828	139.71	170	180	172	103	88	123.31	105.12
Rv2446c	Rv2446c	integral membrane protein	high_iron:8%	0.2517	0.0107110710566451	137.27	141	145	141	121	139	208	175.3
lppX	Rv2945c	lipoprotein LppX	tyloxopol:11%; INDIGO_exponential:10%	0.224	0.00136648992897791	137.62	183	188	144	104	85	401.81	345.22
Rv1367c	Rv1367c	hypothetical protein	ctl_stationary:10%	0.2349	0.00525107631128508	136.82	164	156	148	113	108	96.98	82.52
PE4	Rv0160c	PE family protein PE4	hypoxia_late:42%; ctl_stationary:14%; PBS_RIF_DDmtb:11%	0.3496	0.0815432726694273	152.3	71	115	155	171	290	5.93	4.37
Rv2654c	Rv2654c	antitoxin	hypoxia_late:79%	0.6581	0.218475385074514	145.6	97	12	21	354	558	5.49	2.56
rbpA	Rv2050	RNA polymerase-binding protein RbpA	hypoxia_fatty_acids:14%	0.2395	0.00550745298761491	140.52	151	160	176	116	106	399.74	339.52
Rv2891	Rv2891	hypothetical protein	hypoxia_late:54%; PBS_RIF_DDmtb:10%	0.3106	0.0872469431828376	143.25	87	75	77	199	360	13.62	10.71
MT2375	MT2375	hypothetical protein	INDIGO_exponential:10%	0.3579	0.109589310641607	153.3	67	84	105	232	364	85.16	65.78
MT2541	MT2541	hypothetical protein	hypoxia_fatty_acids:18%; ctl_stationary:10%	0.2601	0.0213195187780075	145.36	131	141	151	131	175	46.08	38.42
viuB	Rv2895c	mycobactin utilization protein ViuB	hypoxia_late:9%	0.2419	0.00677413358035561	146.65	143	170	197	127	105	188.56	159.71
Rv3054c	Rv3054c	hypothetical protein	hypoxia_fatty_acids:43%; hypoxia_late:10%; ctl_stationary:10%	0.3324	0.102598529189473	146.75	79	74	79	216	380	15.42	11.94
Rv2037c	Rv2037c	transmembrane protein	hypoxia_fatty_acids:14%; hypoxia_late:11%	0.2436	0.0119661602214623	144.72	156	153	137	124	155	67.09	56.69
MT0600	MT0600	hypothetical protein	hypoxia_hypoxic:19%; ctl_stationary:15%	0.5716	0.256308000235693	146.01	115	4	9	395	616	9.67	5.52
Rv2693c	Rv2693c	integral membrane protein	ctl_stationary:18%; PBS_RIF_DDmtb:16%	0.2288	0.00501712838578783	144.17	180	175	146	114	113	170.89	146.2
ldtB	Rv2518c	L,D-transpeptidase LdtB	zinc_limitation:13%; hypoxia_rar:10%	0.2375	0.00597616211662247	146.77	157	174	189	119	104	116.71	99.12
mce3B	Rv1967	Mce family protein Mce3B	hypoxia_late:32%; ctl_stationary:11%; PBS_RIF_DDmtb:10%	0.3358	0.0992939566933947	165.77	68	117	168	210	319	10.86	8.31
Rv0197	Rv0197	oxidoreductase	hypoxia_late:18%	0.2351	0.00791175441582688	150.2	166	186	171	120	115	46.66	39.64
Rv2966c	Rv2966c	methyltransferase	hypoxia_late:18%; human_sputum:11%	0.2435	0.0122883559472651	155.47	154	182	179	133	133	192.37	163.01
rpfA	Rv0867c	resuscitation-promoting factor RpfA	tyloxopol:14%; human_sputum:12%	0.2441	0.0112500554198075	160.46	182	194	212	136	94	392.25	332.25
hsaG	Rv3535c	acetaldehyde dehydrogenase	microaerophilic:44%; hypoxia_fatty_acids:15%	0.2433	0.0150669103910853	147.3	161	152	127	129	170	60.35	51.01
amiD	Rv3375	amidase	hypoxia_late:15%; PBS_RIF_DDmtb:13%	0.2389	0.0105975433292439	147.91	160	162	145	126	148	52.3	44.29
Rv0366c	Rv0366c	hypothetical protein	hypoxia_late:23%; PBS_RIF_DDmtb:15%	0.3309	0.0970268460795883	170.6	89	136	167	218	273	26.72	21.05
pepE	Rv2089c	dipeptidase PepE	hypoxia_late:31%; ctl_stationary:11%	0.271	0.0707039309930777	164.9	127	131	119	179	296	15.69	12.83
Rv2133c	Rv2133c	hypothetical protein	ctl_stationary:11%	0.2127	0.00459061981587017	156.71	208	195	149	123	119	180.63	156.31
MT0555	MT0555	hypothetical protein	hypoxia_late:16%	0.2747	0.0624184173013223	177.24	118	179	183	195	220	184.09	152.6
pks7	Rv1661	polyketide synthase	hypoxia_late:29%	0.2411	0.0152865299584873	170.47	148	210	213	164	126	58.49	49.51
MT2958.1	MT2958.1	hypothetical protein	hypoxia_late:44%	0.32	0.144423759541152	174.16	93	83	87	267	465	12.77	9.92
Rv1514c	Rv1514c	glycosyltransferase	hypoxia_late:16%	0.2644	0.0492343487167662	175.78	117	177	206	187	200	53.91	44.74
prfB	Rv3105c	peptide chain release factor PrfB	zinc_limitation:9%	0.2112	0.00330494438644505	162.49	209	205	177	128	107	193.97	168.07
Rv2042c	Rv2042c	hypothetical protein	hypoxia_late:9%	0.2344	0.0154598708837731	159.55	177	176	153	132	162	88.54	75.41
relE	Rv1246c	toxin RelE	PBS_RIF_DDmtb:14%	0.2657	0.0752860943158341	163.02	135	116	128	168	295	73.3	60.86
hsaF	Rv3534c	4-hydroxy-2-oxovalerate aldolase	microaerophilic:38%; hypoxia_fatty_acids:18%	0.2431	0.0233144348991116	168.56	162	193	182	143	165	64.6	54.62
AS1726	AS1726	putative small regulatory RNA	hypoxia_late:43%; ctl_stationary:12%	0.465	0.288268819235998	178.86	105	31	39	416	596	11.74	7.78
Rv0100	Rv0100	hypothetical protein	PBS_RIF_DDmtb:18%; ctl_stationary:12%; hypoxia_fatty_acids:10%	0.2928	0.139953846800177	175.26	122	93	90	244	416	48.72	39.49
Rv1726	Rv1726	oxidoreductase	hypoxia_late:36%; ctl_stationary:10%	0.2391	0.036582247703203	157.62	172	151	108	138	232	23.65	19.92
MT0771	MT0771	hypothetical protein	hypoxia_late:30%; ctl_stationary:15%; PBS_RIF_DDmtb:13%	0.5096	0.33642860957708	170.73	130	10	15	439	673	12.6	7.86
MT3037	MT3037	hypothetical protein	hypoxia_late:31%; ctl_stationary:15%	0.3029	0.149634740659093	183.41	112	105	111	260	409	24.12	19.28
Rv2250c	Rv2250c	HTH-type transcriptional regulator	hypoxia_late:19%; ctl_stationary:17%; PBS_RIF_DDmtb:13%	0.296	0.139221640237566	187.32	110	114	131	241	412	18.98	15.21
drrB	Rv2937	daunorubicin ABC transporter permease DrrB	INDIGO_exponential:13%; tyloxopol:11%	0.2262	0.0140823672084378	178.55	186	224	223	142	129	240.54	206.32
thiE	Rv0414c	thiamine-phosphate synthase	hypoxia_late:21%	0.2393	0.0409196665445849	177.36	174	190	175	149	201	70.92	60.17
Rv0452	Rv0452	transcriptional regulator	tyloxopol:14%; ctl_stationary:11%; hypoxia_late:11%; hypoxia_fatty_acids:10%	0.253	0.0734254929712672	180.4	150	147	165	176	278	37.03	30.95
Rv1815	Rv1815	hypothetical protein	high_iron:14%	0.1977	0.00153447300566496	181.64	246	243	204	140	100	1215.82	1064.15
MT2514	MT2514	hypothetical protein	PBS_RIF_DDmtb:16%	0.3149	0.177606864944369	188.66	113	92	95	283	479	69	55.04
