GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	EV_ATC_RIF	EV_DMSO_RIF
pntAa	Rv0155	NAD(P) transhydrogenase subunit alpha PntAa	hypoxia_late:17%; tyloxopol:12%	0.3605	0.00374071669872495	76.37	79	137	86	54	42	212.77	160.67
papA2	Rv3820c	trehalose-2-sulfate acyltransferase	hypoxia_late:9%	0.3592	0.00520553098913312	72.69	84	128	63	51	50	93.96	70.83
MT4035.1	MT4035.1	hypothetical protein	microaerophilic:18%; ctl_stationary:12%	0.3819	0.0124198356947672	83.58	66	131	125	59	53	405.93	302.03
Rv1779c	Rv1779c	integral membrane protein	hypoxia_rar:11%	0.3778	0.00770049996195348	89.81	61	146	188	58	38	234.66	174.84
argA	Rv2747	L-glutamate alpha-N-acetyltranferase	hypoxia_late:11%; human_sputum:11%	0.4069	0.021794461173278	89.64	51	130	147	67	72	133.95	97.54
Rv1096	Rv1096	glycosyl hydrolase	tyloxopol:8%	0.3664	0.0101808902153919	84.82	78	152	100	60	51	178.77	134.57
mtn	Rv0091	bifunctional 5'-methylthioadenosine nucleosidase	hypoxia_late:20%; ctl_stationary:10%	0.4356	0.0344510691321947	97.45	46	106	189	79	93	52.01	36.63
MT2038	MT2038	hypothetical protein	ctl_stationary:10%	0.4337	0.0363037017268978	93.63	53	101	135	80	110	148.46	105.57
MT4026.1	MT4026.1	hypothetical protein	INDIGO_exponential:10%	0.4233	0.0432416095798182	86.81	81	65	58	91	153	120.08	85.81
secY	Rv0732	preprotein translocase SecY	tyloxopol:12%	0.3426	0.00371329962295231	84.85	97	168	74	63	45	287.15	220.1
Rv3922c	Rv3922c	membrane protein insertion efficiency factor	acidic:15%; INDIGO_exponential:11%	0.3461	0.00573841291625622	87.85	92	172	82	68	47	954.25	730.27
Rv2647	Rv2647	hypothetical protein	hypoxia_late:18%; PBS_RIF_DDmtb:13%	0.523	0.0954214561831228	97.46	73	46	85	108	208	35.74	23.1
mce2R	Rv0586	HTH-type transcriptional regulator Mce2R	hypoxia_fatty_acids:32%	0.3676	0.0132783319037734	104.75	76	161	204	72	49	231.39	173.5
Rv2452c	Rv2452c	hypothetical protein	human_sputum:22%	0.5819	0.121689131072817	101.75	103	30	76	126	221	64.3	39.94
lysS	Rv3598c	lysine--tRNA ligase	PBS_RIF_DDmtb:11%	0.3325	0.00375195253787489	88.58	111	167	61	69	56	125.93	96.94
drrC	Rv2938	daunorubicin ABC transporter permease DrrC	INDIGO_exponential:14%	0.3399	0.00594476240487563	92.81	104	160	91	70	55	217.53	166.69
rmlB	Rv3464	dTDP-glucose 4,6-dehydratase	INDIGO_exponential:10%	0.3504	0.00795786159031548	103.63	87	181	163	76	44	406.35	309.26
Rv1506c	Rv1506c	hypothetical protein	INDIGO_exponential:13%; hypoxia_late:12%	0.4735	0.0708330460817326	107.16	64	92	132	103	157	38.34	26.04
Rv3760	Rv3760	membrane protein	cholesterol:12%; hypoxia_late:11%	0.4814	0.0607322618281437	113.22	54	124	175	100	132	74.17	50.52
PE1	Rv0151c	PE family protein PE1	hypoxia_late:17%; PBS_RIF_DDmtb:17%; human_sputum:11%; ctl_stationary:11%	0.3637	0.0202795157392691	100.71	91	159	113	66	86	35.64	26.59
vapC6	Rv0656c	ribonuclease VapC6	PBS_RIF_DDmtb:16%	0.478	0.0737206656329023	110.44	72	100	121	102	168	44.27	30.05
Rv0057	Rv0057	hypothetical protein	zinc_limitation:12%	0.3409	0.00804130004877748	100.08	101	162	112	75	64	339.72	260.27
papA5	Rv2939	phthiocerol/phthiodiolone dimycocerosyl transferase	human_sputum:12%	0.3548	0.0140746660684725	106.22	96	195	133	71	61	133.91	101.64
modA	Rv1857	molybdate ABC transporter substrate-binding lipoprotein ModA	INDIGO_exponential:13%; low_iron:10%	0.345	0.0127521997383372	101.16	106	186	87	74	71	171.6	131.11
Rv1765A	Rv1765A	transposase	INDIGO_exponential:10%	0.3529	0.0181064669370031	104.36	93	147	123	85	81	438.91	333.03
PE2	Rv0152c	PE family protein PE2	hypoxia_late:25%; PBS_RIF_DDmtb:15%; ctl_stationary:12%	0.4272	0.03920937838908	123.12	50	156	289	92	87	27.82	19.57
mmpL6	Rv1557	transmembrane transport protein MmpL6	hypoxia_late:15%; acidic_tyloxopol:12%	0.3711	0.0273996245390735	105.06	94	138	108	78	112	39.09	28.97
glnU	Rvnt36	tRNA-Gln	acidic_tyloxopol:12%; human_sputum:11%; hypoxia_late:10%	0.5573	0.127610869511909	109.58	89	37	105	134	225	109.12	69.07
MT3037	MT3037	hypothetical protein	hypoxia_late:31%; ctl_stationary:15%	0.4569	0.0964965461371282	105.44	117	53	43	129	235	33.89	23.16
glf	Rv3809c	UDP-galactopyranose mutase	tyloxopol:10%	0.36	0.0160558902243921	117.54	82	179	222	81	62	134.14	101.01
MT0472.1	MT0472.1	hypothetical protein	ctl_stationary:15%; hypoxia_late:14%	0.4594	0.0863981047236819	111.23	75	67	143	122	166	40.04	27.42
Rv2956	Rv2956	hypothetical protein	human_sputum:17%	0.3692	0.0164770693780859	124.1	85	218	242	73	58	235.67	176.76
Rv1498c	Rv1498c	methyltransferase	zinc_limitation:11%	0.3332	0.0121718279030352	103.68	118	166	79	84	83	182.64	140.48
fadD29	Rv2950c	long-chain-fatty-acid--AMP ligase FadD29	INDIGO_exponential:14%; hypoxia_rar:12%	0.3144	0.0019847641764661	104.31	127	201	71	93	57	825.73	646.04
Rv1117	Rv1117	hypothetical protein	human_sputum:9%	0.4061	0.0277912697430128	135.93	52	204	353	99	65	543.62	396.41
PPE66	Rv3738c	PPE family protein PPE66	PBS_RIF_DDmtb:32%; nutrient_limitation:26%	0.3656	0.0207299671756086	121.85	83	178	233	83	70	124.05	92.93
MT2165	MT2165	hypothetical protein	ctl_stationary:10%	0.4576	0.111312542364027	108.78	121	45	49	136	249	46.66	31.97
MT3919	MT3919	hypothetical protein	hypoxia_late:12%	0.5069	0.134467899438296	111.98	146	35	25	160	298	66.12	43.39
ptrBa	Rv0781	protease II ptrBa	hypoxia_hypoxic:9%	0.3273	0.0106579897922101	107.93	126	175	84	88	80	181.19	139.98
MT1232	MT1232	hypothetical protein	human_sputum:10%; acidic_tyloxopol:10%	0.4389	0.0997582774159412	112.64	147	47	23	163	273	60.42	42.12
Rv0158	Rv0158	transcriptional regulator	human_sputum:14%	0.3956	0.0399563274778682	126.93	77	144	227	101	109	73.39	53.46
sigK	Rv0445c	ECF RNA polymerase sigma factor SigK	PBS_RIF_DDmtb:9%	0.3895	0.0295951888795925	136.85	67	196	317	98	74	212.59	156.62
ldtB	Rv2518c	L,D-transpeptidase LdtB	zinc_limitation:13%; hypoxia_rar:10%	0.3386	0.0109927600588934	123.58	102	199	196	94	59	220.99	169.31
celA2b	Rv1090	cellulase celA2b	hypoxia_late:19%; ctl_stationary:13%; PBS_RIF_DDmtb:13%	0.4885	0.114943028177923	129.01	74	77	205	133	184	34.27	22.76
cpsY	Rv0806c	exopolysaccharide phosphotransferase CpsY	PBS_RIF_DDmtb:12%	0.313	0.00590794127648047	109.83	137	209	70	87	73	131.13	102.43
Rv3404c	Rv3404c	hypothetical protein	INDIGO_exponential:8%	0.3325	0.0133767631394467	113.64	123	176	107	89	84	163.6	125.88
subI	Rv2400c	sulfate ABC transporter substrate-binding lipoprotein SubI	PBS_RIF_DDmtb:12%	0.3296	0.0138882204114343	111.05	129	191	72	90	91	99.3	76.56
MT1116	MT1116	hypothetical protein	hypoxia_late:10%	0.478	0.137617738655318	119.26	132	40	50	164	286	104.47	70.68
ahpC	Rv2428	alkyl hydroperoxide reductase subunit AhpC	zinc_limitation:27%; hypoxia_rar:10%; hypoxia_hypoxic:10%	0.3307	0.0126867260414268	121.01	122	214	138	86	69	421.67	326.31
Rv3819	Rv3819	hypothetical protein	acidic_tyloxopol:11%; tyloxopol:11%	0.4053	0.0712703561874185	123.85	95	114	129	118	169	81.38	58.84
Rv1724c	Rv1724c	hypothetical protein	hypoxia_late:19%	0.4235	0.111737051882337	120.85	119	64	81	143	228	41.25	29.04
Rv1176c	Rv1176c	hypothetical protein	hypoxia_late:18%	0.3859	0.0526410489953728	129.17	90	141	179	106	139	66.97	49.1
Rv2961	Rv2961	transposase	hypoxia_late:31%; ctl_stationary:14%	0.4564	0.134853022802135	123.04	138	51	54	166	267	32.39	22.06
Rv2958c	Rv2958c	PGL/p-HBAD biosynthesis glycosyltransferase	hypoxia_late:17%; hypoxia_rar:11%	0.3518	0.0270335262347701	128.88	100	185	194	95	90	65.26	49.26
lysU	Rvnt30	tRNA-Lys	hypoxia_hypoxic:24%; hypoxia_late:18%; hypoxia_rar:13%; human_sputum:11%	0.5476	0.188062557435288	129.88	233	19	8	209	403	65.2	40.82
cyp135A1	Rv0327c	cytochrome P450 Cyp135A1	hypoxia_fatty_acids:39%; hypoxia_late:16%	0.4631	0.0882761028671657	146.32	58	140	320	128	140	16.62	11.13
Rv1505c	Rv1505c	hypothetical protein	INDIGO_exponential:14%; hypoxia_late:13%; ctl_stationary:10%	0.3513	0.0303868990554092	124.69	115	182	122	97	115	89.69	67.91
Rv3784	Rv3784	dTDP-glucose 4,6-dehydratase	hypoxia_late:11%; INDIGO_exponential:10%	0.3531	0.0337264999383847	133.1	105	180	161	104	124	62.14	46.83
mmpS4	Rv0451c	membrane protein MmpS4	ctl_exponential:11%; tyloxopol:11%	0.3539	0.0372484564282726	135.63	109	171	167	107	131	133.26	100.57
valU	Rvnt34	tRNA-Val	hypoxia_late:25%; butyrate:10%	0.7224	0.249248189929493	129.47	281	10	6	196	421	38.67	19.81
Rv1693	Rv1693	hypothetical protein	zinc_limitation:9%	0.3687	0.0395629865690969	143.9	88	183	250	115	111	366.64	274.16
MT2601.1	MT2601.1	hypothetical protein	hypoxia_late:19%; ctl_stationary:11%	0.4018	0.103983486803774	134.02	120	87	118	145	216	64.19	46.28
Rv1507c	Rv1507c	hypothetical protein	hypoxia_late:10%	0.3486	0.0276047443005658	139.36	107	213	213	96	94	133.5	101.39
mazE1	Rv0456B	antitoxin MazE1	ctl_stationary:14%; hypoxia_late:12%	0.5255	0.205300996714276	143.02	157	43	92	181	312	52.44	33.73
Rv1194c	Rv1194c	hypothetical protein	low_iron:10%	0.3449	0.0199678840057947	150.43	98	224	318	109	67	371.76	283.47
MT4041.2	MT4041.2	hypothetical protein	hypoxia_hypoxic:17%; hypoxia_rar:15%; human_sputum:14%	0.3341	0.0242699507082219	138.41	116	198	185	112	96	508.69	390.99
Rv2271	Rv2271	hypothetical protein	human_sputum:17%; ctl_exponential:16%; hypoxia_rar:10%	0.3642	0.0501391765143605	145.92	110	200	173	120	136	172.69	129.96
Rv1502	Rv1502	hypothetical protein	INDIGO_exponential:11%	0.3036	0.00983825400855871	135.26	162	230	120	105	82	262.6	206.71
Rv2401	Rv2401	hypothetical protein	PBS_RIF_DDmtb:10%	0.3656	0.0741962233933506	136.95	163	125	52	151	227	76.26	56.84
lppK	Rv2116	lipoprotein LppK	hypoxia_late:21%	0.4129	0.123659140896578	144.21	130	107	101	150	256	30.43	21.57
MT1121	MT1121	hypothetical protein	hypoxia_late:32%; hypoxia_hypoxic:11%	0.7806	0.253579326984342	148.85	219	21	73	171	400	21.34	9.95
Rv3488	Rv3488	hypothetical protein	hypoxia_late:18%	0.3958	0.0889435728177837	150.75	99	143	215	137	172	93.23	67.95
MT0692.1	MT0692.1	hypothetical protein	hypoxia_late:15%	0.3512	0.0567474017982337	138.58	141	164	93	127	176	116.57	88.27
Rv0361	Rv0361	membrane protein	human_sputum:14%	0.3095	0.0163719929965224	139.39	159	232	119	111	95	201.75	158.18
mftR	Rv0691c	mycofactocin biosynthesis transcriptional regulator MftR	ctl_stationary:10%	0.3063	0.0155543098904176	139.15	167	229	110	110	99	250.62	196.9
mku	Rv0937c	non-homologous end joining protein Ku	INDIGO_exponential:10%	0.3072	0.0188264945982994	138.39	164	212	102	114	114	135.32	105.96
Rv3268	Rv3268	hypothetical protein	high_iron:10%	0.338	0.0257220334125212	167.38	108	251	338	125	79	446.83	342.4
Rv2275	Rv2275	cyclo(L-tyrosyl-L-tyrosyl) synthase	INDIGO_exponential:13%; high_iron:11%; human_sputum:10%; tyloxopol:10%	0.3277	0.0283439016250918	149.26	131	221	184	117	108	120.96	93.33
Rv0195	Rv0195	two component transcriptional regulator	ctl_stationary:19%; hypoxia_late:16%; human_sputum:12%; nutrient_limitation:12%; PBS_RIF_DDmtb:11%	0.5127	0.22596982015713	163.85	178	54	137	177	335	11.97	7.33
Rv1708	Rv1708	initiation inhibitor protein	human_sputum:11%	0.2982	0.0124469097755435	147.08	177	248	134	113	88	225.68	178.25
Rv1979c	Rv1979c	permease	acidic_tyloxopol:10%; INDIGO_exponential:10%	0.3089	0.0182554634552651	156.67	142	250	221	116	85	157.24	123.09
mesJ	Rv3625c	tRNA(Ile)-lysidine synthase	hypoxia_late:19%; microaerophilic:14%	0.3362	0.0330910388787726	165.58	113	231	291	130	101	119.59	91.49
nadR	Rv0212c	transcriptional regulator NadR	PBS_RIF_DDmtb:14%; hypoxia_late:11%	0.3192	0.0281594530862793	154.2	140	233	176	119	117	113.76	88.42
Rv3278c	Rv3278c	transmembrane protein	human_sputum:13%; tyloxopol:11%	0.3238	0.0329914435535192	155.91	139	210	177	131	130	162.01	125.25
rpmF	Rv0979A	50S ribosomal protein L32	INDIGO_exponential:10%	0.352	0.055110514868317	172.75	112	220	284	142	133	372.2	281.77
vapB24	Rv0239	antitoxin VapB24	INDIGO_exponential:9%	0.3052	0.0197162437618553	159.38	155	245	197	124	97	796.76	625.93
grcC2	Rv0989c	polyprenyl-diphosphate synthase GrcC	PBS_RIF_DDmtb:15%; ctl_stationary:13%; hypoxia_late:11%	0.2986	0.0187401547171967	150.41	184	238	103	121	125	126.56	99.76
fadD17	Rv3506	long-chain-fatty-acid--CoA ligase FadD17	hypoxia_late:27%; ctl_stationary:13%; human_sputum:11%	0.3976	0.130017323727606	175.95	124	158	252	157	202	12.68	8.89
drrB	Rv2937	daunorubicin ABC transporter permease DrrB	INDIGO_exponential:13%; tyloxopol:11%	0.291	0.0156898674166636	150.99	195	253	97	123	113	196.71	156.2
Rv2146c	Rv2146c	transmembrane protein	acidic:8%	0.3306	0.0507912999866418	165.01	143	226	170	138	155	226.66	174.91
Rv3424c	Rv3424c	hypothetical protein	human_sputum:18%; nutrient_limitation:12%	0.3413	0.0718753048633245	159.28	181	177	75	175	209	92.8	70.68
Rv3376	Rv3376	phosphatase	INDIGO_exponential:12%; ctl_exponential:11%	0.2851	0.010338663049599	158.67	187	260	142	140	89	590.29	470.81
Rv0590A	Rv0590A	MCE-family related protein	PBS_RIF_DDmtb:13%; hypoxia_fatty_acids:13%; microaerophilic:10%	0.4048	0.186278135571276	171.89	186	113	88	198	318	55.93	40.11
Rv3103c	Rv3103c	hypothetical protein	hypoxia_late:14%	0.3204	0.0464039655877985	161.7	173	202	117	149	174	128.03	99.07
Rv2331A	Rv2331A	hypothetical protein	nutrient_limitation:18%	0.3803	0.115780106527151	182.09	114	174	267	174	198	89.51	65.85
Rv2949c	Rv2949c	chorismate pyruvate-lyase	INDIGO_exponential:15%; acidic:12%	0.3201	0.0320392102614661	177.93	135	268	270	147	103	877.44	684.5
PPE61	Rv3532	PPE family protein PPE61	hypoxia_late:29%	0.3655	0.122716752484545	171.29	158	151	148	167	240	18.13	13.23
mbtG	Rv2378c	L-lysine N6-monooxygenase	low_iron:38%; human_sputum:13%	0.3192	0.0466072542712868	166.5	171	223	146	135	164	42.46	32.75
MT1007	MT1007	hypothetical protein	tyloxopol:10%	0.3419	0.0561966383790098	184.96	125	235	295	159	137	131.7	100.25
yidC	Rv3921c	membrane protein insertase YidC	high_iron:10%	0.2761	0.00741310778575631	166.19	209	283	124	155	92	1001.12	804.33
MT1071	MT1071	hypothetical protein	hypoxia_late:18%; PBS_RIF_DDmtb:16%; ctl_stationary:13%	0.3869	0.197318680028421	173.29	212	79	53	227	401	45.38	32.83
Rv3818	Rv3818	hypothetical protein	hypoxia_late:10%	0.2966	0.0204036334075874	182.52	174	273	264	132	102	139.9	110.34
lprL	Rv0593	Mce family lipoprotein LprL	hypoxia_late:21%; PBS_RIF_DDmtb:10%	0.3388	0.0861622111000371	179.41	150	197	201	162	190	31.89	24.06
menE	Rv0542c	2-succinylbenzoic acid--CoA ligase	high_iron:11%	0.2958	0.0211160111164403	183.92	170	277	258	148	98	261.62	206.79
vapC11	Rv1561	ribonuclease VapC11	INDIGO_exponential:11%	0.3343	0.0819668052712447	185.87	154	215	193	183	187	115.9	88.84
Rv0330c	Rv0330c	hypothetical protein	hypoxia_late:18%; hypoxia_fatty_acids:16%; ctl_stationary:14%	0.3735	0.144991248009549	193.22	136	173	253	189	226	33.2	24.33
vapC13	Rv1838c	ribonuclease VapC13	human_sputum:10%	0.3051	0.0509612040347385	175.7	199	222	106	173	191	142.08	111.34
PPE50	Rv3135	PPE family protein PPE50	hypoxia_rar:16%; acidic:15%	0.2829	0.0190758002755743	176.45	204	287	150	146	118	552.29	441.46
pntAb	Rv0156	NAD(P) transhydrogenase subunit alpha PntAb	tyloxopol:12%; ctl_exponential:12%	0.3012	0.0326254022122437	183.71	175	257	206	154	138	362.13	285.14
vapB8	Rv0664	antitoxin VapB8	hypoxia_late:16%; human_sputum:11%	0.3516	0.112766218875334	189.84	152	205	191	182	223	123.92	93.76
Rv1730c	Rv1730c	penicillin-binding protein	human_sputum:14%; hypoxia_late:11%	0.3307	0.0531909186302693	198.51	133	274	346	156	127	56.05	42.88
icd1	Rv3339c	isocitrate dehydrogenase	INDIGO_exponential:10%	0.2935	0.0218533559971786	189.28	179	281	257	153	105	217.87	172.5
