GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	EV_ATC_RIF	EV_ATC_noDrug
trpT	Rvnt08	tRNA-Trp	zinc_limitation:20%; human_sputum:13%	0.4009	0.0128431369108864	32.98	32	56	47	19	19	790.3	592.05
drrC	Rv2938	daunorubicin ABC transporter permease DrrC	INDIGO_exponential:14%	0.3952	0.00901820694359479	39.27	26	86	87	20	10	217.53	163.86
Rv1505c	Rv1505c	hypothetical protein	INDIGO_exponential:14%; hypoxia_late:13%; ctl_stationary:10%	0.4496	0.0261296060504504	43.44	13	87	111	22	23	89.69	64.81
cyp124	Rv2266	cytochrome P450 Cyp124	cholesterol:12%	0.4039	0.0166371526872629	39.87	33	73	59	17	30	45.84	34.09
MT1121	MT1121	hypothetical protein	hypoxia_late:32%; hypoxia_hypoxic:11%	0.8952	0.128584867987767	48	68	6	17	58	149	21.34	8.99
ppsB	Rv2932	phthiocerol synthesis polyketide synthase type I PpsB	zinc_limitation:12%; human_sputum:12%; hypoxia_rar:12%	0.3531	0.00279979911843575	39.76	38	98	45	28	12	148.6	115.13
Rv3528c	Rv3528c	hypothetical protein	hypoxia_late:12%; human_sputum:11%	0.4178	0.0225073873059198	48.92	22	95	133	25	16	142.74	105.6
moaD2	Rv0868c	cyclic pyranopterin monophosphate synthase	human_sputum:9%	0.4045	0.0235846307634911	43.99	35	68	67	24	35	210.57	157.08
Rv0531	Rv0531	membrane protein	hypoxia_late:18%	0.3614	0.0117131469787558	42.96	40	88	46	29	24	353.21	272.07
Rv2699c	Rv2699c	hypothetical protein	ctl_stationary:15%; hypoxia_fatty_acids:14%	0.3954	0.0221589713559316	51.38	34	81	109	31	25	321.89	241.91
Rv1508A	Rv1508A	hypothetical protein	human_sputum:14%; ctl_stationary:12%	0.4863	0.067121261009316	54.01	24	55	95	37	74	60.24	41.94
PPE34	Rv1917c	PPE family protein PPE34	hypoxia_late:32%; ctl_stationary:13%; human_sputum:12%	0.41	0.0276346832819593	52.95	30	97	123	21	29	12.17	8.75
Rv1356c	Rv1356c	hypothetical protein	hypoxia_late:16%; human_sputum:16%; hypoxia_hypoxic:12%	0.4351	0.0349910977123699	53.63	25	85	119	33	33	58.53	42.44
Rv0621	Rv0621	membrane protein	hypoxia_late:26%	0.4619	0.0571304301218546	56.69	28	74	96	34	66	23.21	16.19
MT0697	MT0697	hypothetical protein	PBS_RIF_DDmtb:22%; nutrient_limitation:10%	0.3925	0.0222142124920647	53.56	36	99	94	32	28	275.35	207.9
plcD	Rv1755c	phospholipase C 4 plcD	hypoxia_late:30%; PBS_RIF_DDmtb:11%	0.4823	0.0737559962701854	54.06	61	37	15	57	131	12.72	8.48
MT2165.1	MT2165.1	hypothetical protein	human_sputum:32%; hypoxia_late:19%; hypoxia_hypoxic:11%	0.6376	0.115550318145465	63.87	112	10	4	119	177	56.94	33.57
esxU	Rv3445c	ESAT-6 like protein EsxU	hypoxia_late:23%; human_sputum:14%	0.5225	0.113926094838386	55.84	60	21	21	78	135	32.27	21.32
Rv0749A	Rv0749A	hypothetical protein	human_sputum:12%	0.5108	0.102809786368627	57.95	41	45	39	49	137	90.05	61.07
Rv1928c	Rv1928c	short-chain type dehydrogenase/reductase	ctl_stationary:14%; PBS_RIF_DDmtb:13%; hypoxia_late:11%	0.3811	0.0287419953331448	51.68	46	71	40	38	68	53.96	40.58
Rv1506c	Rv1506c	hypothetical protein	INDIGO_exponential:13%; hypoxia_late:12%	0.4591	0.0711950512460019	57.12	39	63	58	39	95	38.34	27.13
ppsD	Rv2934	phthiocerol synthesis polyketide synthase type I PpsD	zinc_limitation:13%; hypoxia_rar:10%; microaerophilic:10%	0.3222	0.00260510461665668	51.73	57	112	50	44	17	265.42	210.36
drrA	Rv2936	daunorubicin ABC transporter ATP-binding protein DrrA	hypoxia_rar:12%	0.3216	0.0038347233398717	52.63	62	113	41	46	21	390.85	309.98
MT1071	MT1071	hypothetical protein	hypoxia_late:18%; PBS_RIF_DDmtb:16%; ctl_stationary:13%	0.4464	0.0804702474006863	61.31	72	34	16	67	160	45.38	32.26
Rv1502	Rv1502	hypothetical protein	INDIGO_exponential:11%	0.3416	0.0111420121252661	58.02	49	119	88	40	20	262.6	205.45
bfrB	Rv3841	bacterioferritin BfrB	cholesterol:26%; butyrate:11%	0.4189	0.0511352695011052	73.89	15	106	147	35	116	4841.32	3588.03
smtB	Rv2358	HTH-type transcriptional regulator SmtB	hypoxia_fatty_acids:15%	0.3502	0.0236472683923238	63.75	48	104	103	42	38	253.67	196.76
cydD	Rv1621c	cytochrome biosyntheisis ABC transporter ATP-binding protein/permease CydD	hypoxia_late:15%	0.3443	0.0179857599789601	66.64	45	123	135	45	22	178.78	139.12
Rv1766	Rv1766	hypothetical protein	ctl_stationary:12%	0.3665	0.0348144868070218	66.94	47	110	92	43	55	223.25	171.78
yrbE3A	Rv1964	integral membrane protein	hypoxia_late:20%; microaerophilic:13%; ctl_stationary:11%; PBS_RIF_DDmtb:11%	0.4773	0.136242527271681	77.89	50	75	105	64	103	18.5	12.6
Rv2804c	Rv2804c	hypothetical protein	hypoxia_late:36%	0.3492	0.0345335764020231	66.58	63	94	48	47	88	71.16	55.1
zur	Rv2359	zinc uptake regulation protein	hypoxia_fatty_acids:12%	0.3326	0.0268567646266295	65.74	64	101	56	50	63	182.96	143.57
parD2	Rv2142A	antitoxin ParD2	hypoxia_fatty_acids:11%; ctl_stationary:10%	0.3513	0.0370790927288509	72.91	55	118	90	48	64	297.8	231.54
whiB1	Rv3219	transcriptional regulator WhiB1	zinc_limitation:14%; hypoxia_rar:10%	0.3598	0.0287770477884717	81.51	42	149	202	51	26	6730.59	5197.43
MT3876.1	MT3876.1	hypothetical protein	tyloxopol:8%	0.4339	0.123673204816949	78.19	70	60	33	76	186	120.38	87
PE_PGRS49	Rv3344c	PE-PGRS family protein PE_PGRS49	hypoxia_late:54%	0.3714	0.0661685735796568	78.21	53	108	97	52	90	25.24	18.97
Rv1724c	Rv1724c	hypothetical protein	hypoxia_late:19%	0.4214	0.135219209339221	77.7	66	53	53	75	162	41.25	29.85
Rv1501	Rv1501	hypothetical protein	human_sputum:11%	0.3656	0.0469526803471255	83.63	44	136	176	59	42	119.53	91.64
Rv0420c	Rv0420c	transmembrane protein	PBS_RIF_DDmtb:8%	0.3263	0.0300568869227813	74.58	67	120	80	54	60	204.56	161.57
Rv0910	Rv0910	toxin	acidic:10%	0.3248	0.0251128795630656	79.9	59	131	146	56	36	485.27	383.63
Rv0521	Rv0521	methyltransferase/methylase	hypoxia_late:25%; ctl_stationary:20%; PBS_RIF_DDmtb:11%	0.8871	0.31214265294505	85.23	141	20	71	71	168	10.91	4.3
Rv0590A	Rv0590A	MCE-family related protein	PBS_RIF_DDmtb:13%; hypoxia_fatty_acids:13%; microaerophilic:10%	0.4623	0.160409108415512	88.83	54	79	104	77	142	55.93	39.55
Rv1979c	Rv1979c	permease	acidic_tyloxopol:10%; INDIGO_exponential:10%	0.3102	0.0133504645393531	74.76	73	126	102	53	37	157.24	125.5
MT2015.1	MT2015.1	hypothetical protein	hypoxia_late:20%; ctl_stationary:18%; hypoxia_fatty_acids:10%; PBS_RIF_DDmtb:10%	0.6012	0.280614504486268	86.51	123	15	11	142	266	10.31	5.66
Rv2254c	Rv2254c	integral membrane protein	PBS_RIF_DDmtb:20%; ctl_stationary:18%	0.4135	0.13057061961658	86.62	56	84	78	79	148	44.89	32.74
drrB	Rv2937	daunorubicin ABC transporter permease DrrB	INDIGO_exponential:13%; tyloxopol:11%	0.3162	0.0237791735203604	81.66	71	140	112	63	41	196.71	156.57
Rv2812	Rv2812	transposase	hypoxia_late:57%; ctl_stationary:10%	0.5318	0.227603886238518	94.46	100	62	86	74	165	5.03	2.86
mmpL6	Rv1557	transmembrane transport protein MmpL6	hypoxia_late:15%; acidic_tyloxopol:12%	0.3292	0.0496271829409561	82.79	80	114	64	62	100	39.09	30.56
papA4	Rv1528c	polyketide synthase associated protein PapA	hypoxia_late:27%; ctl_stationary:13%	0.5808	0.266513025213298	92.22	107	38	49	106	202	14.39	8.52
Rv2052c	Rv2052c	hypothetical protein	microaerophilic:18%; hypoxia_fatty_acids:12%	0.3131	0.0182389891325074	83.5	69	146	140	61	32	251.94	200.8
mce3A	Rv1966	Mce family protein Mce3A	hypoxia_late:33%; ctl_stationary:11%	0.4346	0.164484965367153	89.1	65	67	91	81	154	10.44	7.2
Rv1073	Rv1073	hypothetical protein	PBS_RIF_DDmtb:16%; nutrient_limitation:10%	0.2963	0.00869821277713509	78.58	92	134	74	69	39	506.11	408.56
MT4026.1	MT4026.1	hypothetical protein	INDIGO_exponential:10%	0.3669	0.105565217057428	86.86	85	82	54	72	156	120.08	91.7
mtn	Rv0091	bifunctional 5'-methylthioadenosine nucleosidase	hypoxia_late:20%; ctl_stationary:10%	0.3985	0.108246801661767	96.41	43	124	164	82	91	52.01	38.47
Rv1354c	Rv1354c	hypothetical protein	hypoxia_late:15%	0.3123	0.0281784291334868	83.49	83	137	93	55	61	53.59	42.6
fxsA	Rv2053c	transmembrane protein FxsA	hypoxia_fatty_acids:18%	0.296	0.0106076114695811	80.09	104	138	61	65	48	382.59	308.86
MT0031	MT0031	hypothetical protein	human_sputum:10%	0.5232	0.251160096123132	96.41	96	35	42	144	222	60.16	39.59
mce3D	Rv1969	Mce family protein Mce3D	hypoxia_late:35%; ctl_stationary:13%	0.423	0.168948277462884	92.36	97	57	52	102	178	8.96	6.18
Rv2805	Rv2805	hypothetical protein	hypoxia_late:29%	0.3728	0.104645460765177	94.53	52	122	145	70	99	101.03	77
Rv0196	Rv0196	HTH-type transcriptional regulator	hypoxia_late:19%; ctl_stationary:11%; human_sputum:10%; INDIGO_exponential:10%	0.3322	0.0702911759841086	90.43	82	103	65	87	120	72.83	56.86
TB22.2	Rv3036c	hypothetical protein	hypoxia_late:10%	0.3098	0.0300539153206766	86.47	98	121	69	66	84	115.22	91.81
MT0431	MT0431	hypothetical protein	hypoxia_late:21%; low_iron:19%	0.663	0.36340475004096	101.64	170	8	7	197	319	24.1	13.01
Rv1929c	Rv1929c	hypothetical protein	ctl_stationary:10%	0.3902	0.109105814750396	106.1	93	160	193	68	50	111.34	84.06
PPE8	Rv0355c	PPE family protein PPE8	hypoxia_late:23%; ctl_stationary:15%; human_sputum:11%	0.3135	0.0272574170821647	98.09	74	192	189	60	31	24.55	19.34
Rv1572c	Rv1572c	conserved hypothetical protein	hypoxia_late:27%	0.4465	0.227662411328486	100.92	132	39	19	164	235	92.07	65.46
Rv2958c	Rv2958c	PGL/p-HBAD biosynthesis glycosyltransferase	hypoxia_late:17%; hypoxia_rar:11%	0.3169	0.0512357996462651	94.26	79	129	127	73	72	65.26	51.62
Rv1574	Rv1574	phage protein	microaerophilic:16%; hypoxia_late:12%; PBS_RIF_DDmtb:12%; ctl_stationary:11%	0.4523	0.241534452170854	102.38	115	47	38	151	212	31.44	21.95
ppsC	Rv2933	phthiocerol synthesis polyketide synthase type I PpsC	zinc_limitation:16%; hypoxia_rar:12%; human_sputum:11%	0.2883	0.0103173067421232	90.58	108	155	81	83	44	260.24	211.24
MT2113	MT2113	hypothetical protein	hypoxia_fatty_acids:17%	0.2873	0.0125594753919299	89.51	118	145	68	80	52	363.23	295.05
Rv2452c	Rv2452c	hypothetical protein	human_sputum:22%	0.5005	0.282628282422486	106.16	103	42	55	149	233	64.3	43.35
Rv1332	Rv1332	transcriptional regulator	acidic:11%; cholesterol:11%	0.3104	0.0284807325896948	103.58	75	177	179	85	40	701.52	560.6
MT1777	MT1777	hypothetical protein	nutrient_limitation:49%; ctl_stationary:23%; PBS_RIF_DDmtb:10%	0.7262	0.419660127326868	107.61	222	4	3	215	345	10.93	4.92
cut1	Rv1758	cutinase	hypoxia_late:36%; ctl_stationary:23%; PBS_RIF_DDmtb:14%	0.5525	0.376473415907906	106.03	152	18	26	162	292	8.94	5.12
Rv2742c	Rv2742c	hypothetical protein	PBS_RIF_DDmtb:16%; ctl_stationary:12%	0.3159	0.0585705291440667	100.01	77	130	130	92	78	106.24	84.12
Rv3289c	Rv3289c	transmembrane protein	microaerophilic:33%; ctl_stationary:18%; hypoxia_fatty_acids:16%	0.3776	0.166392338216061	107.05	89	91	76	109	185	56.95	42.68
lat	Rv3290c	L-lysine-epsilon aminotransferase	hypoxia_fatty_acids:31%; cholesterol:16%; microaerophilic:14%; ctl_stationary:13%	0.3085	0.0389725872551413	98.93	94	143	110	84	71	72.46	57.7
Rv2466c	Rv2466c	hypothetical protein	hypoxia_fatty_acids:20%; ctl_stationary:11%; zinc_limitation:10%; PBS_RIF_DDmtb:10%; microaerophilic:10%	0.3221	0.0827981390091627	105.13	101	128	100	86	113	75.68	59.81
Rv1573	Rv1573	phage protein	hypoxia_late:50%	0.4885	0.294945411263033	123.53	102	92	116	118	203	29.21	19.68
Rv2660c	Rv2660c	hypothetical protein	hypoxia_fatty_acids:26%; ctl_stationary:11%; acidic_tyloxopol:10%	0.3936	0.170945518030555	123.1	51	135	236	111	117	136.96	103.04
PPE59	Rv3429	PPE family protein PPE59	human_sputum:10%	0.3103	0.0361372462247098	110.14	76	195	177	90	49	470.22	376.17
Rv1816	Rv1816	HTH-type transcriptional regulator	human_sputum:10%	0.2996	0.0300442322699111	109.56	91	172	165	94	51	404.71	325.47
hisE	Rv2122c	phosphoribosyl-ATP pyrophosphatase	low_iron:25%; hypoxia_late:16%; PBS_RIF_DDmtb:11%	0.4649	0.364692750201693	119.65	153	29	22	203	324	27.09	18.38
serU	Rvnt45	tRNA-Ser	hypoxia_late:20%; PBS_RIF_DDmtb:12%	0.5732	0.442967831533595	124.15	162	24	32	213	318	53.55	33.07
Rv2478c	Rv2478c	hypothetical protein	hypoxia_late:28%; hypoxia_rar:12%	0.3744	0.222299777746429	123.33	117	96	70	138	219	33.65	25.22
folE	Rv3609c	GTP cyclohydrolase I	microaerophilic:24%; PBS_RIF_DDmtb:11%	0.2842	0.0257835101704734	109.89	124	152	101	98	81	253.84	206.24
Rv3659c	Rv3659c	conjugal transfer protein	hypoxia_late:28%; PBS_RIF_DDmtb:23%; ctl_stationary:13%	0.4022	0.22669825514008	131.19	114	127	182	100	140	17.44	12.76
Rv3177	Rv3177	peroxidase	hypoxia_late:16%; butyrate:12%; ctl_stationary:11%	0.3723	0.214000984072312	127.69	88	117	143	110	192	23.65	17.73
cobG	Rv2064	precorrin-3B synthase	hypoxia_late:22%	0.3022	0.059214636501524	124.12	99	188	183	103	70	143.57	114.93
fadD26	Rv2930	fatty-acid--CoA ligase FadD26	zinc_limitation:18%; hypoxia_rar:13%	0.2781	0.0181660340227082	112.29	125	184	106	108	57	795.38	650.79
Rv3524	Rv3524	membrane protein	zinc_limitation:16%	0.3171	0.0610200728190554	134.35	78	240	289	97	46	590.29	469.13
pitB	Rv2281	phosphate permease	hypoxia_late:15%; ctl_stationary:12%	0.3002	0.0706250727732024	116.19	119	157	113	89	108	38.94	31.11
vapB28	Rv0608	antitoxin VapB28	INDIGO_exponential:10%	0.3099	0.0581889699768682	129.17	86	213	250	96	54	1157.17	924.92
thrU	Rvnt39	tRNA-Thr	hypoxia_late:25%	0.6555	0.535699463167875	129.34	206	12	28	224	353	36.2	19.79
Rv1086	Rv1086	(2Z,6E)-farnesyl diphosphate synthase	ctl_stationary:10%	0.2828	0.0306137901395481	117.52	121	164	132	105	75	220.5	179.39
Rv1647	Rv1647	adenylate cyclase	PBS_RIF_DDmtb:18%	0.3141	0.10999349025775	125.32	81	169	157	120	110	78.09	61.75
vapB25	Rv0277A	hypothetical protein	tyloxopol:11%; butyrate_plus_glucose:10%	0.3021	0.0522714017540081	130	90	214	223	107	58	1296.85	1042.85
MT3631	MT3631	hypothetical protein	hypoxia_fatty_acids:22%; hypoxia_late:20%	0.4675	0.371368518780336	141.28	134	69	89	194	262	42.79	29.45
Rv0366c	Rv0366c	hypothetical protein	hypoxia_late:23%; PBS_RIF_DDmtb:15%	0.4007	0.26994509527767	131.73	113	90	115	131	228	23.61	17.19
MT3282	MT3282	hypothetical protein	hypoxia_late:23%; zinc_limitation:11%; ctl_stationary:11%	0.6524	0.524541400500647	139.45	184	41	75	180	289	27.58	15.45
Rv0373c	Rv0373c	carbon monoxyde dehydrogenase large subunit	hypoxia_late:32%; ctl_stationary:13%	0.3211	0.13639050332693	127.01	105	159	159	95	124	16.3	12.65
MT1082	MT1082	hypothetical protein	hypoxia_late:26%	0.3175	0.135057911598178	126.82	110	141	118	121	146	71.59	56.41
Rv0047c	Rv0047c	hypothetical protein	hypoxia_hypoxic:15%; hypoxia_fatty_acids:11%	0.2919	0.0708560555243967	124.57	116	163	144	114	92	195.61	157.91
MTS0900	MTS0900	small intergenic RNA	butyrate:33%; acidic_tyloxopol:15%; butyrate_plus_glucose:12%	0.277	0.0286834787679419	126.15	140	189	136	104	76	823.27	674.2
cpsY	Rv0806c	exopolysaccharide phosphotransferase CpsY	PBS_RIF_DDmtb:12%	0.2751	0.0284564734395174	126.33	138	191	126	113	77	131.13	107.28
Rv1738	Rv1738	hypothetical protein	cholesterol:29%; ctl_stationary:13%	0.3147	0.0986856122971563	150.63	87	251	277	132	65	1013.19	808.22
Rv0259c	Rv0259c	hypothetical protein	hypoxia_late:27%; ctl_stationary:16%; PBS_RIF_DDmtb:13%	0.4242	0.316405611066739	151.15	95	116	216	152	194	17.59	12.4
clpS	Rv1331	ATP-dependent Clp protease adapter protein ClpS	cholesterol:13%; acidic:12%	0.328	0.154292055573503	149.09	175	212	281	93	47	1265.81	998.84
Rv0970	Rv0970	integral membrane protein	microaerophilic:54%	0.3153	0.122177669477299	139.15	84	193	224	128	93	147.84	117.09
Rv0245	Rv0245	oxidoreductase	low_iron:14%	0.2936	0.086558205394693	130.76	128	161	129	116	122	154.34	124.39
Rv2959c	Rv2959c	rhamnosyl O-methyltransferase	hypoxia_rar:17%; hypoxia_late:10%	0.3004	0.0955867233512591	137.58	109	198	192	112	94	136.52	109.65
MT1086	MT1086	hypothetical protein	hypoxia_late:22%; zinc_limitation:22%	0.4607	0.420780194186713	155.87	136	77	121	204	279	40.96	28.16
PE_PGRS14	Rv0834c	PE-PGRS family protein PE_PGRS14	microaerophilic:59%	0.3042	0.0794949433324415	154.13	139	257	273	101	59	137.1	109.76
Rv3784	Rv3784	dTDP-glucose 4,6-dehydratase	hypoxia_late:11%; INDIGO_exponential:10%	0.3366	0.192168052839249	157.03	126	224	241	123	97	62.14	48.64
PE_PGRS57	Rv3514	PE-PGRS family protein PE_PGRS57	cholesterol:24%; hypoxia_late:20%	0.4599	0.239351318119197	189.69	37	229	437	91	296	103.82	74.36
Rv1371	Rv1371	membrane protein	hypoxia_late:50%; ctl_stationary:16%	0.6339	0.553860250673575	161.09	223	109	228	99	170	3.13	1.28
Rv0829	Rv0829	transposase	zinc_limitation:24%; cholesterol:24%	0.2725	0.029857364880297	132.33	149	185	141	115	83	719.23	590.13
MT1007	MT1007	hypothetical protein	tyloxopol:10%	0.322	0.180150292563644	160.57	129	217	251	125	105	131.7	104.06
Rv0076c	Rv0076c	membrane protein	acidic_tyloxopol:12%	0.3487	0.231151322637668	166.07	146	218	308	117	85	202.05	156.62
Rv0530	Rv0530	hypothetical protein	zinc_limitation:12%	0.2723	0.035338732174271	144.01	135	227	190	126	69	496.19	406.95
Rv0813c	Rv0813c	hypothetical protein	low_iron:10%	0.277	0.0560371924546047	147.84	131	215	215	124	79	421.21	344.2
tatC	Rv2093c	Sec-independent protein translocase transmembrane protein TatC	butyrate:11%; butyrate_plus_glucose:10%	0.2589	0.0218059437445363	136.82	173	204	114	122	87	305.61	253.23
PPE5	Rv0304c	PPE family protein PPE5	hypoxia_late:29%; ctl_stationary:13%; human_sputum:13%	0.3813	0.231855652891006	186.8	58	279	369	88	238	13.58	10.04
Rv1585c	Rv1585c	phage protein	hypoxia_fatty_acids:28%; microaerophilic:12%; ctl_stationary:12%; butyrate:11%	0.3197	0.220302279369969	159.21	111	165	151	192	184	72.98	57.34
asnT	Rvnt25	tRNA-Asn	hypoxia_late:24%; tyloxopol:12%; butyrate:12%; hypoxia_hypoxic:11%; butyrate_plus_glucose:10%	0.8313	0.703682369985817	154.79	338	3	5	344	454	18.12	7.31
Rv1341	Rv1341	non-canonical purine NTP pyrophosphatase	low_iron:15%	0.2847	0.111387000405127	152.38	120	197	212	141	106	198.27	160.85
Rv3353c	Rv3353c	hypothetical protein	hypoxia_late:20%; ctl_stationary:12%; hypoxia_hypoxic:12%	0.4832	0.618678218062096	161.1	232	26	34	295	405	18.3	11.84
hbhA	Rv0475	heparin binding hemagglutinin HbhA	hypoxia_hypoxic:13%; cholesterol:12%; hypoxia_rar:10%; zinc_limitation:10%	0.2809	0.0670720077725195	161.58	122	254	278	129	73	1054.26	859.86
MT1266	MT1266	hypothetical protein	PBS_RIF_DDmtb:12%	0.3207	0.235836273664043	162.7	130	167	168	156	196	181.62	143.99
Rv1507c	Rv1507c	hypothetical protein	hypoxia_late:10%	0.305	0.15719769633289	167.76	106	223	293	140	112	133.5	106.98
Rv2085	Rv2085	hypothetical protein	hypoxia_late:17%	0.3061	0.217220712286137	157.33	164	142	72	171	270	86.1	68.64
blaI	Rv1846c	transcriptional repressor BlaI	cholesterol:14%	0.2615	0.0349744931131934	155	161	247	169	139	82	1952.54	1615.8
rpmF	Rv0979A	50S ribosomal protein L32	INDIGO_exponential:10%	0.3217	0.221646377536143	177.01	147	222	276	137	125	372.2	294.58
PPE16	Rv1135c	PPE family protein PPE16	hypoxia_late:30%; PBS_RIF_DDmtb:14%; microaerophilic:12%	0.3222	0.242024081264934	173.85	155	226	246	127	132	22.87	17.84
nadR	Rv0212c	transcriptional regulator NadR	PBS_RIF_DDmtb:14%; hypoxia_late:11%	0.273	0.0981987334197502	160.4	159	231	172	130	121	113.76	93.31
Rv2433c	Rv2433c	hypothetical protein	hypoxia_late:16%; PBS_RIF_DDmtb:10%	0.3474	0.346783606699454	171.36	158	144	162	167	232	65.41	50.6
Rv0421c	Rv0421c	hypothetical protein	low_iron:17%	0.277	0.103761565613592	164.14	151	237	197	136	114	192.53	157.18
murE	Rv2158c	UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase	microaerophilic:26%; cholesterol:14%	0.2694	0.0568579924277172	168.67	145	267	245	143	80	425.37	349.56
Rv0836c	Rv0836c	hypothetical protein	hypoxia_late:23%; ctl_stationary:14%; hypoxia_fatty_acids:14%	0.382	0.412212188435176	183.98	171	182	262	134	182	30.18	22.6
Rv3371	Rv3371	diacyglycerol O-acyltransferase	nutrient_limitation:21%	0.2662	0.0877860870318891	155.74	172	199	124	146	143	73.2	60.14
Rv1359	Rv1359	transcriptional regulator	hypoxia_late:9%	0.2832	0.151924720615195	161.81	157	194	154	135	172	75.41	61.31
mce2R	Rv0586	HTH-type transcriptional regulator Mce2R	hypoxia_fatty_acids:32%	0.2803	0.105429576565049	170.79	137	253	269	133	96	231.39	188.52
Rv2810c	Rv2810c	transposase	hypoxia_late:20%	0.3002	0.215429078059818	169.76	156	187	152	153	204	90.79	73.06
ldtA	Rv0116c	L,D-transpeptidase LdtA	acidic:14%	0.2812	0.132728520271863	174.32	143	243	207	163	128	132.76	107.82
vapB30	Rv0623	antitoxin VapB30	hypoxia_fatty_acids:10%	0.3222	0.246092867480051	197.78	160	270	347	154	104	345.06	272.99
Rv2293c	Rv2293c	hypothetical protein	hypoxia_late:11%	0.3158	0.277535664973829	178.72	165	205	195	145	187	45.28	35.85
fucA	Rv0727c	L-fuculose phosphate aldolase FucA	hypoxia_late:14%; ctl_stationary:10%	0.3573	0.350947820944325	202.61	144	236	342	174	147	60.98	46.57
