GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv1473A_ATC_noDrug	Rv1473A_DMSO_noDrug
Rv0316	Rv0316	muconolactone isomerase	hypoxia_late:11%; tyloxopol:10%	0.2748	0.0222593656517509	65.39	75	77	69	80	33	290.27	241.67
fadA5	Rv3546	acetyl-CoA acetyltransferase FadA	hypoxia_fatty_acids:48%; hypoxia_late:10%; human_sputum:10%	0.3548	0.140294361618713	76.44	53	94	86	62	92	24.83	19.27
rpsI	Rv3442c	30S ribosomal protein S9	hypoxia_rar:10%	0.2693	0.0104600785251487	67.85	84	73	64	100	30	778.97	651.29
Rv2132	Rv2132	hypothetical protein	ctl_stationary:14%	0.3235	0.124793156019128	75.03	62	76	76	81	81	167.48	134.21
argJ	Rv1653	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase	hypoxia_late:21%; hypoxia_hypoxic:14%	0.2778	0.0414904201061101	65.77	73	72	59	82	46	67.39	55.78
gatA	Rv3011c	glutamyl-tRNA(GLN) amidotransferase subunit A	hypoxia_late:24%	0.2825	0.0424779267246971	67.43	67	82	75	78	40	91.98	76.01
ssb	Rv0054	single-strand DNA-binding protein	zinc_limitation:14%	0.3015	0.0663570111091305	74.19	61	90	105	79	44	557.1	455.58
cut2	Rv2301	cutinase	acidic_tyloxopol:10%	0.3029	0.0869508929617028	73.77	63	92	80	75	61	104.54	85.1
argG	Rv1658	argininosuccinate synthase	hypoxia_late:10%; hypoxia_hypoxic:10%	0.2672	0.0237510154049378	71.5	87	84	68	91	36	165.91	138.74
whiB5	Rv0022c	transcriptional regulator WhiB5	hypoxia_late:32%; ctl_stationary:18%; PBS_RIF_DDmtb:16%	0.5035	0.43854854716146	86.26	113	59	58	65	155	9.92	6.63
MT0009	MT0009	hypothetical protein	ctl_stationary:12%; hypoxia_late:12%	0.5215	0.415551117324893	97.88	85	37	35	122	296	25.66	17.02
Rv2929	Rv2929	hypothetical protein	human_sputum:12%; tyloxopol:10%	0.2953	0.112636274821457	76.5	68	75	82	83	75	122	100.04
rplY	Rv1015c	50S ribosomal protein L25	hypoxia_rar:11%	0.2709	0.0402861515405427	76.29	77	81	93	94	43	237.38	198.15
lpqI	Rv0237	lipoprotein LpqI	zinc_limitation:11%; high_iron:11%	0.2773	0.0541331666821112	76.33	70	79	102	97	42	244.71	203.31
mdh	Rv1240	malate dehydrogenase	tyloxopol:12%; hypoxia_rar:10%	0.2706	0.034066524885443	76.92	83	87	88	99	37	411.76	343.9
oxcA	Rv0118c	oxalyl-CoA decarboxylase OxcA	hypoxia_late:14%; butyrate:11%; low_iron:10%	0.2878	0.070863461774905	78.97	69	107	94	74	56	58.77	48.26
Rv0607	Rv0607	hypothetical protein	zinc_limitation:13%; hypoxia_late:12%; ctl_stationary:12%; PBS_RIF_DDmtb:11%	0.3367	0.195594898205148	95.97	59	108	111	87	122	61.27	48.59
Rv2411c	Rv2411c	hypothetical protein	zinc_limitation:8%	0.2729	0.0473552074923258	79.24	79	98	92	86	47	122.91	102.29
mcr11	MTS0997	small intergenic RNA	human_sputum:22%; hypoxia_hypoxic:13%	0.292	0.133616057417269	79.83	71	66	66	101	99	232.72	191.16
Rv2011c	Rv2011c	hypothetical protein	hypoxia_fatty_acids:29%; ctl_stationary:22%	0.3749	0.235396807088128	105.58	52	141	144	88	119	84.2	65.22
Rv0678	Rv0678	hypothetical protein	microaerophilic:23%; ctl_stationary:21%; hypoxia_fatty_acids:16%	0.3032	0.138656930704942	88.95	66	102	109	84	87	100.79	82.09
parD1	Rv1960c	antitoxin ParD1	hypoxia_fatty_acids:34%	0.2863	0.138575790334262	83.81	80	69	71	105	97	118.08	97.39
rplI	Rv0056	50S ribosomal protein L9	zinc_limitation:16%	0.302	0.141458570950549	96.32	72	125	134	103	59	785.14	641.97
valT	Rvnt31	tRNA-Val	human_sputum:15%; hypoxia_late:13%	0.3482	0.325960361427848	95.72	90	44	49	121	219	77.44	60.98
Rv3405c	Rv3405c	HTH-type transcriptional regulator	hypoxia_fatty_acids:11%	0.2792	0.117085544707445	87.9	74	85	107	107	70	91.1	75.43
cmaA2	Rv0503c	cyclopropane mycolic acid synthase	acidic_tyloxopol:12%	0.255	0.036182685141896	86.11	100	104	78	109	48	253.68	214.07
panB	Rv2225	3-methyl-2-oxobutanoate hydroxymethyltransferase	acidic_tyloxopol:7%	0.2607	0.0413820912904732	86.44	92	88	101	108	50	295.75	248.6
Rv2622	Rv2622	methyltransferase	hypoxia_late:22%; ctl_stationary:14%; low_iron:13%; butyrate:11%	0.2944	0.19042974484247	95.16	76	83	89	104	128	27.46	22.31
ppa	Rv3628	inorganic pyrophosphatase	tyloxopol:12%	0.3124	0.209342443408356	101.65	82	111	126	96	96	111.92	90.59
Rv2864c	Rv2864c	penicillin-binding lipoprotein	hypoxia_late:18%	0.2441	0.032908183721157	93.84	112	109	83	123	52	117.51	99.83
lprJ	Rv1690	lipoprotein LprJ	hypoxia_rar:10%; hypoxia_late:10%	0.2748	0.117094104509479	99.18	81	121	120	106	73	253.14	210.4
moaB3	Rv3324A	pterin-4-alpha-carbinolamine dehydratase moaB3	human_sputum:28%; hypoxia_late:11%	0.4795	0.572143324493726	105.01	124	19	17	154	369	20.18	13.87
Rv0203	Rv0203	hypothetical protein	hypoxia_late:11%; hypoxia_rar:11%; ctl_exponential:11%	0.2519	0.0487929769931828	89.79	103	96	85	118	54	323.22	273.47
echA19	Rv3516	enoyl-CoA hydratase EchA19	hypoxia_fatty_acids:18%; human_sputum:15%; hypoxia_late:11%	0.2937	0.201811165690024	105.77	78	110	106	112	126	34.64	28.22
Rv2854	Rv2854	hypothetical protein	hypoxia_late:16%	0.2734	0.154878111271964	101.68	88	101	116	114	91	34.93	28.91
Rv0991c	Rv0991c	hypothetical protein	ctl_stationary:21%; hypoxia_fatty_acids:20%; microaerophilic:10%	0.3679	0.367532518231512	126.78	107	163	159	90	123	141.39	110.16
metU	Rvnt38	tRNA-Met	hypoxia_late:22%; butyrate:15%; hypoxia_hypoxic:13%	0.6062	0.68256610926887	112.41	183	34	28	120	303	21.98	13.71
vapC15	Rv2010	ribonuclease VapC15	INDIGO_exponential:13%; hypoxia_fatty_acids:12%	0.2959	0.225864441440278	113.86	108	153	149	98	72	765.33	628.29
relF	Rv2865	antitoxin RelF	hypoxia_fatty_acids:21%	0.2748	0.185726936139776	108.69	91	105	113	127	109	128.03	106.39
mmr	Rv3065	multidrug resistance protein Mmr	hypoxia_fatty_acids:13%; hypoxia_late:13%; microaerophilic:13%	0.286	0.218943774501028	112.09	93	100	96	137	139	82.18	67.6
Rv2927c	Rv2927c	hypothetical protein	cholesterol:11%; tyloxopol:10%	0.3089	0.246156423157631	125.17	111	180	164	95	89	895.89	728.98
Rv1592c	Rv1592c	hypothetical protein	ctl_stationary:13%	0.4229	0.315093276930012	158.63	60	200	162	63	417	367.7	276.35
glnT	Rvnt16	tRNA-Gln	hypoxia_late:19%; butyrate:10%	0.4515	0.594503371664632	115.4	126	26	29	193	328	32.28	23.08
icl1	Rv0467	isocitrate lyase	nutrient_limitation:38%; hypoxia_fatty_acids:11%; human_sputum:11%	0.2801	0.274509652038849	109.89	141	133	132	93	62	132.29	109.66
Rv2250A	Rv2250A	flavoprotein	hypoxia_late:14%; ctl_stationary:13%; hypoxia_fatty_acids:10%	0.2788	0.243627963724753	113.69	94	95	95	145	146	61.19	50.44
Rv2563	Rv2563	glutamine ABC transporter permease	hypoxia_late:13%	0.2704	0.191165129460838	112.48	114	131	147	111	68	108.91	90.86
PE_PGRS52	Rv3388	PE-PGRS family protein PE_PGRS52	hypoxia_late:39%	0.282	0.230732084149579	117.61	98	128	155	125	88	32.49	26.74
PE_PGRS26	Rv1441c	PE-PGRS family protein PE_PGRS26	hypoxia_late:26%; human_sputum:11%	0.2768	0.212060141507565	116.24	97	120	158	128	85	105.48	87.51
MT1585.1	MT1585.1	hypothetical protein	acidic:27%; nutrient_limitation:14%; hypoxia_hypoxic:11%	0.266	0.209252758340089	111.9	116	116	140	113	79	616.66	516.45
moaD1	Rv3112	molybdenum cofactor biosynthesis protein MoaD	hypoxia_late:56%; ctl_stationary:13%	0.3927	0.564435150036124	118.31	129	35	31	160	357	13.64	10.14
Rv0614	Rv0614	hypothetical protein	hypoxia_late:23%	0.2614	0.174629931743292	115.83	101	122	125	139	95	42.15	35.25
MT3974.1	MT3974.1	hypothetical protein	human_sputum:12%	0.2449	0.162887032764038	106.86	121	114	77	147	83	146.58	124.45
Rv2990c	Rv2990c	hypothetical protein	microaerophilic:16%; human_sputum:12%; high_iron:10%	0.251	0.106914325338738	115.89	110	146	138	131	65	293.17	248.16
Rv1990A	Rv1990A	dehydrogenase	hypoxia_late:12%; PBS_RIF_DDmtb:12%; ctl_stationary:10%	0.3361	0.42778738923946	131.95	106	119	112	126	208	43.11	33.95
Rv2250c	Rv2250c	HTH-type transcriptional regulator	hypoxia_late:19%; ctl_stationary:17%; PBS_RIF_DDmtb:13%	0.3364	0.418791343312442	140.39	95	118	135	135	237	20.27	15.84
MT1627	MT1627	hypothetical protein	tyloxopol:10%	0.4062	0.448369017532107	150.34	96	159	137	68	359	631.64	480.16
fadD18	Rv3513c	fatty-acid--CoA ligase FadD18	hypoxia_fatty_acids:28%; ctl_stationary:16%; hypoxia_late:16%	0.3051	0.383651571177829	141.01	102	113	103	150	264	16.92	13.48
rplM	Rv3443c	50S ribosomal protein L13	hypoxia_rar:13%; human_sputum:11%	0.2382	0.118000512661811	120.81	117	142	142	153	63	787.02	672.53
argD	Rv1655	acetylornithine aminotransferase	hypoxia_late:20%; hypoxia_hypoxic:14%	0.268	0.262590785581989	128.54	115	140	133	141	115	53.81	44.69
rplL	Rv0652	50S ribosomal protein L7/L12	tyloxopol:12%; high_iron:11%	0.2676	0.260301925180108	129.55	119	147	172	132	86	497.22	416.29
Rv1220c	Rv1220c	methyltransferase	hypoxia_late:15%	0.2223	0.0789097841737369	116.18	138	144	99	155	60	340.99	294.44
mihF	Rv1388	integration host factor MihF	zinc_limitation:13%; hypoxia_rar:11%	0.2636	0.197871276123892	141.38	105	193	181	143	98	1236.73	1038.43
Rv3188	Rv3188	hypothetical protein	hypoxia_late:13%; acidic_tyloxopol:11%	0.2719	0.365614353639851	133.87	118	106	98	148	214	46.45	38.48
rpmG2	Rv0634B	50S ribosomal protein L33	human_sputum:20%; ctl_exponential:12%; hypoxia_rar:12%	0.2666	0.358846374576763	128.55	160	137	153	124	78	733.1	614.31
Rv2642	Rv2642	ArsR family transcriptional regulator	hypoxia_fatty_acids:56%; butyrate:15%	0.2697	0.330142272301993	137.93	104	117	119	162	198	61.52	50.99
Rv3656c	Rv3656c	hypothetical protein	hypoxia_late:25%; ctl_stationary:11%	0.3436	0.620401542825722	140.89	140	86	130	134	233	55.51	43.67
MT0598	MT0598	hypothetical protein	hypoxia_hypoxic:23%; ctl_stationary:12%	0.3505	0.591311423207883	148.72	125	63	65	209	374	45.44	35.18
vapC33	Rv1242	ribonuclease VapC33	tyloxopol:10%	0.2348	0.250018421265458	127.51	128	135	123	151	103	112.83	96.52
mazE2	Rv0660c	antitoxin MazE2	human_sputum:18%	0.2272	0.179473115913314	137.19	127	157	167	180	71	1405.12	1210
Rv2805	Rv2805	hypothetical protein	hypoxia_late:29%	0.2643	0.321721731092725	142.41	109	130	127	165	188	60.45	50.31
vapB7	Rv0662c	antitoxin VapB7	hypoxia_late:40%	0.3228	0.547273237806971	149.91	120	74	79	189	362	27.19	21.46
thiS	Rv0416	sulfur carrier protein ThiS	low_iron:15%; hypoxia_late:14%; acidic:12%	0.3394	0.629869319234786	142.72	134	60	63	188	352	30.51	23.81
carD	Rv3583c	RNA polymerase-binding transcription factor CarD	microaerophilic:12%; nutrient_limitation:11%	0.2269	0.191338829382659	140	131	168	166	176	74	6435.05	5542.16
Rv2033c	Rv2033c	hypothetical protein	hypoxia_late:23%; hypoxia_hypoxic:11%	0.2892	0.483829247261086	149.72	143	161	184	140	124	83.53	68.72
Rv0298	Rv0298	antitoxin	ctl_exponential:10%	0.212	0.117731661439419	137.4	154	152	129	207	66	1574.94	1370.32
argR	Rv1657	arginine repressor	hypoxia_late:31%	0.2524	0.327075210389159	147.96	122	151	141	161	167	70.19	59.07
MT2438	MT2438	hypothetical protein	acidic_tyloxopol:16%; PBS_RIF_DDmtb:12%; hypoxia_late:11%	0.5127	0.799009365336399	159.52	190	78	100	138	353	28.99	19.62
vapB28	Rv0608	antitoxin VapB28	INDIGO_exponential:10%	0.2553	0.360992930105242	153.07	147	181	189	144	111	730.52	616.76
Rv3706c	Rv3706c	hypothetical protein	human_sputum:13%; ctl_exponential:11%; acidic_tyloxopol:10%	0.2531	0.393000333019321	143.29	132	112	90	159	246	59.33	49.82
rpsB	Rv2890c	30S ribosomal protein S2	hypoxia_rar:10%; hypoxia_hypoxic:10%	0.2128	0.14886360492127	141.57	153	169	151	183	69	639.78	556.3
PE_PGRS57	Rv3514	PE-PGRS family protein PE_PGRS57	cholesterol:24%; hypoxia_late:20%	0.3238	0.49009655829187	174.74	86	136	177	133	413	60.41	48.38
esxD	Rv3891c	ESAT-6 like protein EsxD	acidic:11%; hypoxia_rar:11%	0.291	0.443063328296194	171.15	144	237	210	130	147	297.93	245.17
gmk	Rv1389	guanylate kinase	zinc_limitation:12%	0.2462	0.276443449620954	162.16	130	220	211	152	112	902.89	767.29
Rv0068	Rv0068	oxidoreductase	PBS_RIF_DDmtb:13%; hypoxia_late:12%; hypoxia_fatty_acids:10%	0.236	0.384632966274783	150.87	139	145	118	178	179	30.67	26.03
pks16	Rv1013	polyketide synthase	hypoxia_hypoxic:9%	0.2275	0.274667933604572	166.02	142	217	208	177	101	468.78	403.46
MT0392	MT0392	hypothetical protein	hypoxia_late:19%; tyloxopol:12%	0.226	0.310473531768221	162.19	136	184	191	187	120	143.92	123.95
MT0025	MT0025	hypothetical protein	hypoxia_late:30%; PBS_RIF_DDmtb:18%; ctl_stationary:17%	0.4282	0.831256826929673	170.96	216	89	84	163	373	10.96	7.76
ruvC	Rv2594c	crossover junction endodeoxyribonuclease RuvC	zinc_limitation:21%	0.2087	0.207001719660022	155.98	167	178	163	216	76	597.02	520.58
mpg	Rv1688	3-methyladenine DNA glycosylase	hypoxia_late:44%	0.2769	0.512803853648967	173.36	123	129	131	192	327	17.64	14.38
MT1040.1	MT1040.1	hypothetical protein	hypoxia_hypoxic:10%	0.25	0.500925578860647	157.06	186	166	179	146	114	354.82	300.6
vapC47	Rv3408	ribonuclease VapC47	tyloxopol:13%	0.229	0.306877443221532	171.86	145	224	213	185	107	1055.86	908.02
mbtB	Rv2383c	phenyloxazoline synthase	low_iron:51%; hypoxia_late:12%	0.2099	0.261106500930322	153.33	156	183	185	164	90	25.41	21.99
embA	Rv3794	arabinosyltransferase A	hypoxia_late:11%; high_iron:11%; tyloxopol:10%	0.2092	0.221978633158026	160.16	163	196	182	195	82	182.49	158.98
cwsA	Rv0008c	cell wall synthesis protein CwsA	hypoxia_late:18%	0.2305	0.427711914952572	161.18	150	148	139	190	182	72.66	62.19
Rv0108c	Rv0108c	hypothetical protein	ctl_exponential:20%	0.2499	0.45764846854308	165.25	155	182	215	156	125	1115.75	945.36
Rv2409c	Rv2409c	hypothetical protein	hypoxia_late:9%	0.2287	0.325113647032611	172	146	212	194	168	145	116.35	99.87
Rv2251	Rv2251	flavoprotein	hypoxia_late:14%; PBS_RIF_DDmtb:11%; ctl_stationary:11%	0.2104	0.307568941865005	158.54	168	179	154	199	102	56.78	49.3
xylB	Rv0729	D-xylulose kinase XylB	hypoxia_late:33%	0.2293	0.405442896084193	166.59	149	171	157	179	178	26.07	22.21
cmtR	Rv1994c	HTH-type transcriptional regulator CmtR	hypoxia_fatty_acids:19%; PBS_RIF_DDmtb:17%; butyrate:13%	0.2724	0.552543811310239	172.37	157	167	173	170	196	88.48	73.49
Rv0650	Rv0650	sugar kinase	hypoxia_late:66%	0.2749	0.557273746211508	174.26	137	123	128	184	336	9.23	7.46
tatD	Rv1008	deoxyribonuclease TatD	hypoxia_late:25%	0.2364	0.445735013376369	171.71	148	158	161	186	209	29.26	24.87
Rv1192	Rv1192	hypothetical protein	low_iron:13%	0.2031	0.220782905317909	164.15	180	198	169	219	77	440.86	385.84
Rv0157A	Rv0157A	hypothetical protein	acidic:14%	0.2682	0.520527787302601	179.43	135	170	198	194	205	248.22	207.31
fabD	Rv2243	malonyl CoA-acyl carrier protein transacylase	low_iron:10%	0.2272	0.427774611105837	171.25	165	189	216	200	100	1075.58	926.27
rpsR1	Rv0055	30S ribosomal protein S18	zinc_limitation:21%; hypoxia_rar:13%	0.236	0.431523144654343	177.71	152	204	228	181	132	629.73	539.03
Rv2410c	Rv2410c	hypothetical protein	zinc_limitation:8%	0.2224	0.366744694538768	191.59	158	253	220	182	154	124.86	107.67
PE_PGRS54	Rv3508	PE-PGRS family protein PE_PGRS54	cholesterol:19%; hypoxia_late:17%	0.3503	0.616090005683355	226.84	89	160	235	172	614	109.56	86.32
MT1775	MT1775	hypothetical protein	nutrient_limitation:42%; cholesterol:23%	0.5822	0.547156617456854	278.3	151	516	284	59	570	698.64	470.09
vapC22	Rv2829c	ribonuclease VapC22	cholesterol:12%; PBS_RIF_DDmtb:11%; microaerophilic:11%	0.2223	0.445799808166549	176.97	184	208	187	174	136	274.24	236.68
Rv0345	Rv0345	hypothetical protein	butyrate_plus_glucose:10%	0.2145	0.437333678282441	173.84	166	162	152	228	166	111.08	96.19
alkB	Rv3252c	transmembrane alkane 1-monooxygenase AlkB	nutrient_limitation:47%; PBS_RIF_DDmtb:21%	0.2183	0.425418586953517	181.33	182	216	217	202	104	417.21	361.32
